#time   msd   diff_coeff 
1215 1232.76 0.507309
1220 1238.17 0.507447
1225 1243.58 0.507584
1230 1248.89 0.507679
1235 1254.14 0.507749
1240 1259.41 0.507827
1245 1264.66 0.507896
1250 1269.91 0.507964
1255 1275.3 0.508088
1260 1280.67 0.508202
1265 1286.05 0.50832
1270 1291.31 0.50839
1275 1296.5 0.508431
1280 1301.67 0.508465
1285 1306.91 0.508525
1290 1312.24 0.50862
1295 1317.54 0.508703
1300 1322.88 0.5088
1305 1328.18 0.508881
1310 1333.42 0.508939
1315 1338.62 0.508981
1320 1343.79 0.509011
1325 1349.01 0.50906
1330 1354.21 0.509102
1335 1359.29 0.509097
1340 1364.39 0.509101
1345 1369.35 0.509052
1350 1374.24 0.508978
1355 1379.13 0.508904
1360 1384.13 0.508871
1365 1388.93 0.508766
1370 1393.71 0.508653
1375 1398.44 0.508524
1380 1403.14 0.508384
1385 1407.92 0.508274
1390 1412.71 0.508169
1395 1417.51 0.508068
1400 1422.32 0.507971
1405 1426.92 0.507801
1410 1431.31 0.507557
1415 1435.58 0.507272
1420 1439.7 0.506937
1425 1443.83 0.506607
1430 1447.82 0.506231
1435 1451.78 0.505847
1440 1455.79 0.505483
1445 1459.79 0.505118
1450 1463.89 0.50479
1455 1468 0.504467
1460 1472.1 0.504144
1465 1476.15 0.503805
1470 1480.07 0.503425
1475 1483.93 0.503027
1480 1487.81 0.502639
1485 1491.8 0.50229
1490 1495.69 0.501909
1495 1499.58 0.501532
1500 1503.45 0.50115
1505 1507.44 0.500811
1510 1511.47 0.500487
1515 1515.57 0.500188
1520 1519.58 0.499862
1525 1523.58 0.499534
1530 1527.75 0.499265
1535 1531.93 0.499
1540 1536.07 0.498724
1545 1540.26 0.498466
1550 1544.39 0.49819
1555 1548.55 0.497926
1560 1552.72 0.497667
1565 1556.87 0.497403
1570 1561.04 0.497146
1575 1565.22 0.496895
1580 1569.35 0.49663
1585 1573.61 0.496407
1590 1577.9 0.496195
1595 1582.13 0.495966
1600 1586.47 0.495772
1605 1590.71 0.495548
1610 1594.83 0.495289
1615 1598.95 0.495031
1620 1603.17 0.494806
1625 1607.36 0.494572
1630 1611.58 0.49435
1635 1615.91 0.494162
1640 1620.24 0.493976
1645 1624.53 0.493778
1650 1629.01 0.493639
1655 1633.59 0.493532
1660 1638.23 0.493443
1665 1642.75 0.493318
1670 1647.28 0.493198
1675 1651.75 0.49306
1680 1656.08 0.492881
1685 1660.34 0.492682
1690 1664.59 0.492482
1695 1668.78 0.492265
1700 1672.95 0.492044
1705 1677.14 0.49183
1710 1681.32 0.491614
1715 1685.31 0.491344
1720 1689.22 0.491052
1725 1693.14 0.490765
1730 1696.93 0.490442
1735 1700.74 0.490127
1740 1704.31 0.489744
1745 1707.84 0.489352
1750 1711.48 0.488994
1755 1715.17 0.488652
1760 1718.95 0.488338
1765 1722.83 0.488054
1770 1726.73 0.487777
1775 1730.59 0.48749
1780 1734.38 0.487185
1785 1738.05 0.486849
1790 1741.76 0.486525
1795 1745.48 0.486206
1800 1749.22 0.485894
1805 1752.93 0.485576
1810 1756.64 0.48526
1815 1760.43 0.484967
1820 1764.21 0.484673
1825 1768.03 0.484392
1830 1771.74 0.484082
1835 1775.49 0.483785
1840 1779.14 0.483462
1845 1782.7 0.483117
1850 1786.13 0.482738
1855 1789.47 0.482337
1860 1792.86 0.481952
1865 1796.16 0.481544
1870 1799.5 0.48115
1875 1802.83 0.480755
1880 1806.03 0.480327
1885 1809.28 0.479915
1890 1812.63 0.479532
1895 1816.17 0.479201
1900 1819.81 0.478897
1905 1823.38 0.478577
1910 1827.05 0.478285
1915 1830.86 0.478031
1920 1834.53 0.477742
1925 1838.17 0.477447
1930 1841.63 0.477106
1935 1845.09 0.476767
1940 1848.59 0.476441
1945 1852.28 0.476165
1950 1856.05 0.47591
1955 1859.89 0.475675
1960 1863.78 0.475454
1965 1867.62 0.475221
1970 1871.27 0.474942
1975 1874.95 0.474671
1980 1878.68 0.474414
1985 1882.37 0.474149
1990 1885.91 0.473847
1995 1889.2 0.473484
2000 1892.24 0.47306
2005 1895.2 0.472618
2010 1898.06 0.472154
2015 1901.02 0.471717
2020 1903.99 0.471285
2025 1907 0.470864
2030 1909.9 0.470419
2035 1912.77 0.469968
2040 1915.65 0.469522
2045 1918.63 0.469103
2050 1921.59 0.46868
2055 1924.4 0.468224
2060 1927.18 0.467762
2065 1929.86 0.467278
2070 1932.16 0.466705
2075 1934.09 0.466046
2080 1936.19 0.46543
2085 1938.34 0.46483
2090 1940.61 0.464261
2095 1942.95 0.463711
2100 1945.24 0.463152
2105 1947.42 0.46257
2110 1949.74 0.462024
2115 1952.15 0.461501
2120 1954.7 0.461014
2125 1957.47 0.460581
2130 1960.3 0.460164
2135 1963.14 0.459752
2140 1965.93 0.459329
2145 1968.72 0.458909
2150 1971.4 0.458465
2155 1974.14 0.458037
2160 1976.97 0.457632
2165 1979.74 0.457215
2170 1982.27 0.456744
2175 1984.6 0.45623
2180 1986.98 0.455729
2185 1989.7 0.455309
2190 1992.71 0.454957
2195 1995.8 0.454624
2200 1998.91 0.454298
2205 2002.07 0.453984
2210 2005.38 0.453706
2215 2008.71 0.453433
2220 2012.07 0.453169
2225 2015.46 0.452912
2230 2018.91 0.45267
2235 2022.26 0.452407
2240 2025.45 0.452109
2245 2028.63 0.451811
2250 2031.8 0.451511
2255 2034.93 0.451204
2260 2038.17 0.450923
2265 2041.41 0.450642
2270 2044.79 0.450394
2275 2048.12 0.450136
2280 2051.47 0.449884
2285 2054.86 0.449641
2290 2058.22 0.449393
2295 2061.59 0.449148
2300 2064.84 0.448878
2305 2068.13 0.448618
2310 2071.43 0.448361
2315 2074.43 0.448041
2320 2077.27 0.447688
2325 2080 0.447312
2330 2082.94 0.446983
2335 2085.87 0.446653
2340 2088.59 0.44628
2345 2091.5 0.445949
2350 2094.59 0.445657
2355 2097.87 0.445408
2360 2101.24 0.445178
