***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           500
Temperatura:             0.5
Beta:                    2
J:                       1
Delta:                   1.1
Numero blocchi           10
Lunghezza simulazione:   1
Fase di termalizzazione: 1000



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
135   -4.33e+05  -1.48e+03   2.11e+05   49
136   -4.33e+05  -1.12e+03   2.11e+05   50
137   -4.33e+05  -1.37e+03   2.1e+05   49
138   -4.32e+05  -1.33e+03   2.1e+05   50
139   -4.33e+05  -1.19e+03   2.1e+05   50
140   -4.33e+05  -1.39e+03   2.1e+05   50
141   -4.32e+05  -1.34e+03   2.1e+05   50
142   -4.32e+05  -1.01e+03   2.1e+05   50
143   -4.32e+05  -997   2.1e+05   50
144   -4.32e+05  -1.04e+03   2.1e+05   50
145   -4.33e+05  -895   2.1e+05   50
146   -4.33e+05  -919   2.1e+05   50
147   -4.33e+05  -1.16e+03   2.1e+05   50
148   -4.33e+05  -965   2.1e+05   50
149   -4.33e+05  -1.14e+03   2.1e+05   50
150   -4.33e+05  -1.09e+03   2.1e+05   50
151   -4.33e+05  -1.21e+03   2.1e+05   50
152   -4.32e+05  -1e+03   2.09e+05   50
153   -4.32e+05  -761   2.09e+05   50
154   -4.32e+05  -869   2.09e+05   50
155   -4.33e+05  -854   2.09e+05   50
156   -4.33e+05  -1.09e+03   2.09e+05   50
157   -4.33e+05  -875   2.09e+05   50
158   -4.33e+05  -818   2.09e+05   50
159   -4.33e+05  -757   2.09e+05   50
160   -4.33e+05  -747   2.09e+05   50
161   -4.33e+05  -591   2.09e+05   50
162   -4.32e+05  -681   2.09e+05   49
163   -4.33e+05  -752   2.09e+05   50
164   -4.33e+05  -845   2.09e+05   50
165   -4.32e+05  -792   2.09e+05   50
166   -4.32e+05  -870   2.09e+05   50
167   -4.32e+05  -751   2.09e+05   50
168   -4.32e+05  -668   2.09e+05   50
169   -4.32e+05  -755   2.09e+05   50
170   -4.32e+05  -956   2.09e+05   50
171   -4.33e+05  -1.01e+03   2.09e+05   50
172   -4.33e+05  -1.17e+03   2.09e+05   50
173   -4.33e+05  -1.3e+03   2.09e+05   50
174   -4.33e+05  -1.4e+03   2.09e+05   50
175   -4.33e+05  -1.36e+03   2.09e+05   50
176   -4.33e+05  -1.71e+03   2.09e+05   50
177   -4.33e+05  -1.98e+03   2.09e+05   50
178   -4.33e+05  -1.96e+03   2.09e+05   50
179   -4.33e+05  -1.82e+03   2.09e+05   50
180   -4.33e+05  -1.93e+03   2.09e+05   50
181   -4.32e+05  -1.79e+03   2.09e+05   50
182   -4.32e+05  -2.07e+03   2.09e+05   50
183   -4.32e+05  -2.05e+03   2.09e+05   50
184   -4.32e+05  -1.94e+03   2.09e+05   50
185   -4.32e+05  -1.73e+03   2.09e+05   50
186   -4.32e+05  -1.77e+03   2.09e+05   50
187   -4.32e+05  -1.78e+03   2.09e+05   50
188   -4.32e+05  -1.69e+03   2.09e+05   49
189   -4.32e+05  -1.57e+03   2.09e+05   50
190   -4.32e+05  -1.59e+03   2.09e+05   50
191   -4.32e+05  -1.71e+03   2.09e+05   50
192   -4.33e+05  -1.83e+03   2.09e+05   50
193   -4.32e+05  -1.9e+03   2.09e+05   50
194   -4.33e+05  -1.69e+03   2.09e+05   50
195   -4.33e+05  -1.79e+03   2.09e+05   50
196   -4.33e+05  -1.77e+03   2.09e+05   50
197   -4.32e+05  -1.75e+03   2.09e+05   50
198   -4.32e+05  -1.79e+03   2.09e+05   50
199   -4.32e+05  -2.13e+03   2.09e+05   50
200   -4.33e+05  -2.31e+03   2.09e+05   50
201   -4.32e+05  -2.29e+03   2.09e+05   50
202   -4.33e+05  -2.1e+03   2.09e+05   50
203   -4.32e+05  -1.96e+03   2.09e+05   50
204   -4.32e+05  -1.94e+03   2.08e+05   50
205   -4.32e+05  -2.04e+03   2.08e+05   50
206   -4.33e+05  -1.91e+03   2.08e+05   50
207   -4.32e+05  -1.86e+03   2.08e+05   50
208   -4.32e+05  -2.26e+03   2.08e+05   50
209   -4.33e+05  -1.79e+03   2.08e+05   50
210   -4.33e+05  -1.92e+03   2.08e+05   50
211   -4.33e+05  -2.03e+03   2.08e+05   50
212   -4.33e+05  -1.85e+03   2.09e+05   50
213   -4.33e+05  -1.65e+03   2.08e+05   50
214   -4.33e+05  -1.56e+03   2.08e+05   50
215   -4.33e+05  -1.4e+03   2.09e+05   50
216   -4.33e+05  -1.24e+03   2.08e+05   50
217   -4.33e+05  -1.16e+03   2.08e+05   50
218   -4.33e+05  -1.01e+03   2.08e+05   50
219   -4.33e+05  -1.12e+03   2.08e+05   50
220   -4.33e+05  -1.15e+03   2.08e+05   50
221   -4.32e+05  -1.08e+03   2.08e+05   50
222   -4.32e+05  -1.21e+03   2.08e+05   50
223   -4.33e+05  -1.27e+03   2.08e+05   50
224   -4.32e+05  -1.11e+03   2.08e+05   50
225   -4.32e+05  -995   2.08e+05   50
226   -4.32e+05  -1.08e+03   2.08e+05   50
227   -4.32e+05  -1.31e+03   2.08e+05   50
228   -4.32e+05  -1.18e+03   2.08e+05   50
229   -4.32e+05  -1.22e+03   2.08e+05   50
230   -4.33e+05  -1.25e+03   2.08e+05   50
231   -4.33e+05  -1.14e+03   2.08e+05   50
232   -4.33e+05  -1.14e+03   2.08e+05   50
233   -4.33e+05  -993   2.08e+05   50
234   -4.33e+05  -1.06e+03   2.08e+05   50
235   -4.33e+05  -798   2.08e+05   49
236   -4.33e+05  -657   2.08e+05   50
237   -4.33e+05  -607   2.08e+05   50
238   -4.33e+05  -549   2.08e+05   50
239   -4.33e+05  -422   2.08e+05   50
240   -4.32e+05  -608   2.08e+05   50
241   -4.33e+05  -323   2.08e+05   50
242   -4.33e+05  -175   2.08e+05   50
243   -4.33e+05  -141   2.08e+05   50
244   -4.33e+05  108   2.08e+05   50
245   -4.33e+05  137   2.08e+05   50
246   -4.32e+05  144   2.08e+05   50
247   -4.32e+05  223   2.08e+05   49
248   -4.32e+05  218   2.08e+05   50
249   -4.32e+05  186   2.08e+05   49
250   -4.32e+05  -4.5   2.08e+05   50
251   -4.32e+05  -247   2.07e+05   50
252   -4.32e+05  -205   2.08e+05   50
253   -4.32e+05  -202   2.07e+05   50
254   -4.32e+05  -504   2.07e+05   50
255   -4.32e+05  -281   2.07e+05   50
256   -4.32e+05  -228   2.07e+05   50
257   -4.32e+05  -209   2.07e+05   50
258   -4.32e+05  -230   2.07e+05   50
259   -4.32e+05  -403   2.07e+05   50
260   -4.32e+05  -325   2.07e+05   50
261   -4.32e+05  -203   2.07e+05   50
262   -4.32e+05  -43.7   2.07e+05   50
263   -4.32e+05  -162   2.07e+05   50
264   -4.32e+05  -349   2.07e+05   50
265   -4.33e+05  -482   2.07e+05   50
266   -4.32e+05  -349   2.07e+05   50
267   -4.32e+05  -551   2.07e+05   50
268   -4.32e+05  -447   2.07e+05   50
269   -4.32e+05  -133   2.07e+05   50
270   -4.32e+05  -400   2.07e+05   50
271   -4.32e+05  -643   2.07e+05   50
272   -4.32e+05  -792   2.07e+05   50
273   -4.32e+05  -922   2.07e+05   50
274   -4.33e+05  -884   2.07e+05   50
275   -4.33e+05  -1.03e+03   2.07e+05   50
276   -4.33e+05  -892   2.07e+05   50
277   -4.33e+05  -610   2.07e+05   50
278   -4.33e+05  -777   2.07e+05   50
279   -4.33e+05  -761   2.07e+05   50
280   -4.33e+05  -777   2.07e+05   50
281   -4.33e+05  -928   2.07e+05   50
282   -4.33e+05  -820   2.07e+05   50
283   -4.32e+05  -889   2.07e+05   50
284   -4.32e+05  -1.01e+03   2.07e+05   50
285   -4.32e+05  -1.28e+03   2.07e+05   50
286   -4.32e+05  -1.22e+03   2.07e+05   50
287   -4.32e+05  -1.01e+03   2.07e+05   50
288   -4.32e+05  -775   2.07e+05   50
289   -4.32e+05  -800   2.07e+05   50
290   -4.32e+05  -1.24e+03   2.07e+05   50
291   -4.33e+05  -1.39e+03   2.07e+05   50
292   -4.33e+05  -1.25e+03   2.07e+05   50
293   -4.33e+05  -1.27e+03   2.07e+05   50
294   -4.33e+05  -1.26e+03   2.07e+05   50
295   -4.33e+05  -1.18e+03   2.07e+05   50
296   -4.33e+05  -1.17e+03   2.07e+05   50
297   -4.33e+05  -1.38e+03   2.07e+05   50
298   -4.33e+05  -1.36e+03   2.07e+05   50
299   -4.33e+05  -1.32e+03   2.07e+05   50
300   -4.33e+05  -1.15e+03   2.07e+05   50
301   -4.33e+05  -991   2.07e+05   50
302   -4.33e+05  -1.18e+03   2.07e+05   50
303   -4.32e+05  -1.2e+03   2.07e+05   50
304   -4.32e+05  -1.07e+03   2.07e+05   50
305   -4.33e+05  -875   2.07e+05   50
306   -4.32e+05  -647   2.07e+05   50
307   -4.32e+05  -754   2.07e+05   50
308   -4.32e+05  -660   2.07e+05   50
309   -4.33e+05  -779   2.07e+05   49
310   -4.33e+05  -720   2.07e+05   50
311   -4.33e+05  -803   2.07e+05   50
312   -4.33e+05  -790   2.07e+05   50
313   -4.33e+05  -906   2.07e+05   50
314   -4.33e+05  -1.07e+03   2.07e+05   50
315   -4.33e+05  -993   2.07e+05   50
316   -4.33e+05  -869   2.07e+05   50
317   -4.33e+05  -899   2.07e+05   50
318   -4.33e+05  -901   2.07e+05   50
319   -4.32e+05  -826   2.07e+05   50
320   -4.33e+05  -1.13e+03   2.07e+05   50
321   -4.32e+05  -1.23e+03   2.07e+05   50
322   -4.32e+05  -1.12e+03   2.07e+05   50
323   -4.32e+05  -1.02e+03   2.07e+05   50
324   -4.32e+05  -804   2.07e+05   50
325   -4.32e+05  -832   2.07e+05   50
326   -4.32e+05  -792   2.07e+05   50
327   -4.32e+05  -593   2.07e+05   50
328   -4.32e+05  -497   2.07e+05   50
329   -4.33e+05  -313   2.07e+05   50
330   -4.33e+05  -467   2.07e+05   50
331   -4.32e+05  -471   2.07e+05   50
332   -4.32e+05  -530   2.07e+05   50
333   -4.32e+05  -478   2.07e+05   50
334   -4.32e+05  -302   2.06e+05   50
335   -4.32e+05  -276   2.06e+05   50
336   -4.33e+05  -433   2.07e+05   50
337   -4.32e+05  -355   2.07e+05   50
338   -4.32e+05  -49.9   2.07e+05   50
339   -4.32e+05  -332   2.07e+05   50
340   -4.33e+05  -288   2.07e+05   49
341   -4.33e+05  -64   2.07e+05   50
342   -4.33e+05  -279   2.07e+05   50
343   -4.32e+05  -532   2.07e+05   50
344   -4.32e+05  -375   2.07e+05   49
345   -4.33e+05  -390   2.07e+05   50
346   -4.33e+05  -441   2.06e+05   50
347   -4.32e+05  -378   2.06e+05   50
348   -4.32e+05  -302   2.06e+05   50
349   -4.32e+05  -605   2.07e+05   50
350   -4.32e+05  -380   2.07e+05   50
351   -4.32e+05  -260   2.07e+05   50
352   -4.33e+05  -251   2.07e+05   50
353   -4.33e+05  -362   2.07e+05   50
354   -4.32e+05  -515   2.06e+05   50
355   -4.32e+05  -275   2.06e+05   50
356   -4.32e+05  27.5   2.06e+05   50
357   -4.32e+05  60.9   2.06e+05   50
358   -4.32e+05  178   2.06e+05   50
359   -4.33e+05  227   2.06e+05   50
360   -4.32e+05  422   2.06e+05   50
361   -4.33e+05  651   2.07e+05   50
362   -4.33e+05  368   2.07e+05   50
