***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           100
Temperatura:             0.75
Beta:                    1.33
J:                       1
Delta:                   1.4
Numero blocchi           10
Lunghezza simulazione:   1
Fase di termalizzazione: 1000



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
1   -1.88e+04  -17.3   9.67e+03   40
2   -1.8e+04  -51.2   9.39e+03   45
3   -1.74e+04  -48.8   9.17e+03   46
4   -1.7e+04  -45.2   9e+03   47
5   -1.67e+04  -53.8   8.86e+03   47
6   -1.65e+04  -24.6   8.72e+03   49
7   -1.63e+04  11.2   8.64e+03   49
8   -1.62e+04  -23.6   8.56e+03   49
9   -1.61e+04  -60.6   8.5e+03   48
10   -1.6e+04  -65.4   8.43e+03   49
11   -1.59e+04  -22.3   8.38e+03   49
12   -1.59e+04  13   8.34e+03   49
13   -1.59e+04  28.3   8.3e+03   50
14   -1.59e+04  -3.82   8.27e+03   51
15   -1.59e+04  16.2   8.23e+03   49
16   -1.58e+04  -2   8.21e+03   50
17   -1.58e+04  69.5   8.22e+03   50
18   -1.58e+04  9.59   8.21e+03   49
19   -1.58e+04  43.4   8.19e+03   50
20   -1.58e+04  25.9   8.17e+03   50
21   -1.57e+04  73.1   8.15e+03   49
22   -1.58e+04  32.6   8.12e+03   50
23   -1.58e+04  -7.49   8.12e+03   50
24   -1.57e+04  13.9   8.1e+03   50
25   -1.57e+04  -13.3   8.08e+03   51
26   -1.57e+04  -42   8.03e+03   50
27   -1.57e+04  -41.5   8e+03   49
28   -1.57e+04  -12.5   8.01e+03   49
29   -1.56e+04  -31.7   7.99e+03   50
30   -1.56e+04  -26.1   7.97e+03   50
31   -1.56e+04  -12.2   7.96e+03   50
32   -1.57e+04  7.19   7.94e+03   50
33   -1.57e+04  -14.8   7.91e+03   50
34   -1.57e+04  0.417   7.91e+03   49
35   -1.57e+04  -2.19   7.94e+03   49
36   -1.57e+04  18   7.93e+03   49
37   -1.57e+04  59.1   7.94e+03   50
38   -1.57e+04  43.7   7.92e+03   50
39   -1.57e+04  67.6   7.95e+03   49
40   -1.57e+04  72.5   7.96e+03   51
41   -1.57e+04  120   7.95e+03   50
42   -1.58e+04  92.2   7.98e+03   50
43   -1.58e+04  97   7.97e+03   49
44   -1.59e+04  133   7.97e+03   50
45   -1.59e+04  134   7.98e+03   50
46   -1.58e+04  105   7.96e+03   49
47   -1.58e+04  140   7.94e+03   50
48   -1.58e+04  173   7.93e+03   49
49   -1.58e+04  227   7.94e+03   49
50   -1.58e+04  169   7.92e+03   50
51   -1.58e+04  160   7.93e+03   50
52   -1.58e+04  227   7.9e+03   50
53   -1.57e+04  285   7.86e+03   50
54   -1.57e+04  315   7.86e+03   49
55   -1.57e+04  372   7.84e+03   50
56   -1.57e+04  409   7.82e+03   50
57   -1.57e+04  403   7.88e+03   51
58   -1.56e+04  361   7.84e+03   51
59   -1.56e+04  471   7.84e+03   50
60   -1.57e+04  420   7.85e+03   49
61   -1.57e+04  441   7.83e+03   50
62   -1.58e+04  426   7.84e+03   49
63   -1.57e+04  435   7.82e+03   50
64   -1.57e+04  465   7.82e+03   50
65   -1.57e+04  529   7.8e+03   50
66   -1.57e+04  548   7.72e+03   50
67   -1.57e+04  546   7.71e+03   50
68   -1.57e+04  492   7.71e+03   51
69   -1.57e+04  482   7.7e+03   50
70   -1.57e+04  479   7.7e+03   49
71   -1.57e+04  460   7.69e+03   50
72   -1.57e+04  486   7.64e+03   50
73   -1.56e+04  507   7.61e+03   51
74   -1.56e+04  471   7.62e+03   50
75   -1.57e+04  424   7.67e+03   49
76   -1.57e+04  438   7.69e+03   49
77   -1.57e+04  420   7.69e+03   50
78   -1.58e+04  419   7.71e+03   50
79   -1.58e+04  335   7.69e+03   50
80   -1.58e+04  317   7.7e+03   50
81   -1.58e+04  352   7.72e+03   50
82   -1.58e+04  343   7.71e+03   50
83   -1.57e+04  416   7.72e+03   50
84   -1.58e+04  456   7.72e+03   50
85   -1.57e+04  416   7.72e+03   50
86   -1.57e+04  451   7.69e+03   50
87   -1.57e+04  422   7.68e+03   50
88   -1.57e+04  421   7.68e+03   50
89   -1.56e+04  407   7.68e+03   50
90   -1.56e+04  428   7.65e+03   49
91   -1.57e+04  422   7.68e+03   50
92   -1.57e+04  428   7.68e+03   50
93   -1.58e+04  462   7.69e+03   51
94   -1.57e+04  468   7.68e+03   49
