***************************************
*           Modello XY                *
*      Simulazione Monte Carlo        *
***************************************

Parametri simulativi:

Lato reticolo:           200
Temperatura:             1
Beta:                    1
J:                       1
Delta:                   1.7
Numero blocchi           10
Lunghezza simulazione:   1
Fase di termalizzazione: 1000



Numero mossa   Energia    Magnetizzazione X    Magnetizzazione Y    Acc. rate
135   -5.34e+04  958   2.38e+04   51
136   -5.36e+04  928   2.4e+04   51
137   -5.35e+04  927   2.4e+04   51
138   -5.34e+04  972   2.39e+04   51
139   -5.32e+04  937   2.38e+04   51
140   -5.32e+04  965   2.37e+04   51
141   -5.32e+04  832   2.37e+04   52
142   -5.33e+04  761   2.37e+04   51
143   -5.34e+04  819   2.36e+04   51
144   -5.37e+04  804   2.37e+04   51
145   -5.36e+04  828   2.37e+04   51
146   -5.35e+04  726   2.37e+04   52
147   -5.34e+04  731   2.36e+04   51
148   -5.35e+04  922   2.36e+04   51
149   -5.35e+04  936   2.36e+04   51
150   -5.36e+04  839   2.35e+04   51
151   -5.35e+04  854   2.35e+04   52
152   -5.36e+04  906   2.36e+04   51
153   -5.35e+04  957   2.37e+04   51
154   -5.37e+04  871   2.37e+04   51
155   -5.4e+04  958   2.38e+04   51
156   -5.38e+04  919   2.39e+04   51
157   -5.38e+04  982   2.38e+04   51
158   -5.36e+04  1.07e+03   2.38e+04   51
159   -5.37e+04  1.06e+03   2.39e+04   51
160   -5.35e+04  986   2.38e+04   51
161   -5.33e+04  1.14e+03   2.37e+04   52
162   -5.33e+04  1.16e+03   2.36e+04   51
163   -5.34e+04  1.12e+03   2.36e+04   51
164   -5.34e+04  1.1e+03   2.36e+04   51
165   -5.33e+04  1.12e+03   2.36e+04   51
166   -5.34e+04  1.05e+03   2.36e+04   51
167   -5.35e+04  1.02e+03   2.35e+04   51
168   -5.36e+04  946   2.36e+04   51
169   -5.37e+04  1.05e+03   2.35e+04   51
170   -5.37e+04  1.19e+03   2.35e+04   51
171   -5.36e+04  1.3e+03   2.35e+04   51
172   -5.36e+04  1.38e+03   2.35e+04   51
173   -5.35e+04  1.33e+03   2.34e+04   51
174   -5.34e+04  1.3e+03   2.34e+04   51
175   -5.33e+04  1.43e+03   2.33e+04   51
176   -5.33e+04  1.53e+03   2.32e+04   51
177   -5.33e+04  1.46e+03   2.32e+04   51
178   -5.33e+04  1.59e+03   2.31e+04   51
179   -5.33e+04  1.48e+03   2.32e+04   51
180   -5.32e+04  1.43e+03   2.32e+04   51
181   -5.32e+04  1.45e+03   2.32e+04   51
182   -5.32e+04  1.32e+03   2.3e+04   51
183   -5.31e+04  1.4e+03   2.3e+04   51
184   -5.31e+04  1.38e+03   2.3e+04   52
185   -5.31e+04  1.4e+03   2.3e+04   51
186   -5.32e+04  1.41e+03   2.31e+04   51
187   -5.31e+04  1.44e+03   2.29e+04   51
188   -5.33e+04  1.34e+03   2.3e+04   52
189   -5.34e+04  1.46e+03   2.3e+04   51
190   -5.33e+04  1.39e+03   2.3e+04   51
191   -5.34e+04  1.44e+03   2.31e+04   51
192   -5.34e+04  1.45e+03   2.31e+04   51
193   -5.34e+04  1.56e+03   2.32e+04   51
194   -5.35e+04  1.57e+03   2.33e+04   51
195   -5.37e+04  1.5e+03   2.33e+04   51
196   -5.36e+04  1.69e+03   2.33e+04   51
197   -5.37e+04  1.63e+03   2.33e+04   51
198   -5.36e+04  1.54e+03   2.33e+04   51
199   -5.37e+04  1.63e+03   2.34e+04   51
200   -5.35e+04  1.72e+03   2.33e+04   51
201   -5.34e+04  1.82e+03   2.33e+04   51
202   -5.34e+04  1.8e+03   2.32e+04   52
203   -5.34e+04  1.71e+03   2.32e+04   51
204   -5.33e+04  1.53e+03   2.31e+04   51
205   -5.34e+04  1.64e+03   2.3e+04   51
206   -5.36e+04  1.59e+03   2.3e+04   51
207   -5.33e+04  1.67e+03   2.28e+04   51
208   -5.32e+04  1.78e+03   2.28e+04   51
209   -5.31e+04  1.8e+03   2.28e+04   51
210   -5.33e+04  1.8e+03   2.29e+04   52
211   -5.35e+04  1.77e+03   2.3e+04   51
212   -5.32e+04  1.71e+03   2.3e+04   51
213   -5.33e+04  1.69e+03   2.29e+04   51
214   -5.33e+04  1.72e+03   2.29e+04   51
215   -5.32e+04  1.67e+03   2.29e+04   51
216   -5.33e+04  1.62e+03   2.3e+04   51
217   -5.34e+04  1.69e+03   2.3e+04   51
218   -5.35e+04  1.59e+03   2.31e+04   52
219   -5.36e+04  1.63e+03   2.31e+04   51
220   -5.37e+04  1.64e+03   2.3e+04   51
221   -5.35e+04  1.62e+03   2.3e+04   51
222   -5.32e+04  1.7e+03   2.3e+04   51
223   -5.33e+04  1.78e+03   2.29e+04   52
