LAMMPS (2 Aug 2023 - Update 1)
Reading data file ...
  orthogonal box = (0 0 0) to (34.9641 31.7217 30)
  3 by 2 by 1 MPI processor grid
  reading atoms ...
  157 atoms
  scanning bonds ...
  2 = max bonds/atom
  scanning angles ...
  1 = max angles/atom
  reading bonds ...
  2 bonds
  reading angles ...
  1 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_data CPU = 0.006 seconds
3 atoms in group water
Setting atom values ...
  1 settings made for charge
Setting atom values ...
  2 settings made for charge
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/smooth/linear, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
WARNING: Dump mydump includes no atom IDs and is not sorted by ID. This may complicate post-processing tasks or visualization (../dump.cpp:221)
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.595 | 6.641 | 6.866 Mbytes
     Time         Step          Temp         c_Twater        PotEng         KinEng         TotEng       Ndanger      c_COM[1]       c_COM[2]       c_COM[3]   
 43                 43000   1.3337041      70.104777     -0.06537257     0.026893586   -0.038478984            0   13.477746      20.238936      11.555937    
 44                 44000   0.90764918     54.2566       -0.057059575    0.018302367   -0.038757209            0   13.186202      19.9743        11.454171    
 45                 45000   0.35994775     20.418227     -0.062421097    0.0072581961  -0.055162901            0   13.330735      20.218115      11.571275    
 46                 46000   0.54481086     11.813727     -0.057728912    0.010985884   -0.046743029            0   13.552382      20.111646      11.768455    
 47                 47000   1.3056861      61.193788     -0.06290068     0.026328615   -0.036572065            0   13.371859      19.941147      11.567884    
 48                 48000   1.171412       50.004341     -0.051988821    0.023621035   -0.028367786            0   13.550609      20.396477      11.637159    
 49                 49000   0.26995619     11.211381     -0.045846334    0.0054435538  -0.04040278             0   13.471827      20.00575       11.45976     
 50                 50000   0.87797211     14.406303     -0.052818561    0.017703941   -0.03511462             0   13.329553      20.027054      11.598171    
 51                 51000   0.30630308     10.091059     -0.058080646    0.0061764737  -0.051904172            0   14.397584      21.648386      11.487021    
 52                 52000   1.8228136      73.572254     -0.060829005    0.036756276   -0.024072729            0   13.955842      21.455358      11.474012    
 53                 53000   0.88979083     51.865426     -0.04104629     0.017942261   -0.023104029            0   13.153058      19.825513      11.65043     
 54                 54000   1.3252246      64.154017     -0.045566882    0.026722602   -0.01884428             0   13.752788      20.198524      11.811946    
 55                 55000   1.7995101      104.78805     -0.047669536    0.03628637    -0.011383165            0   13.595615      19.336437      11.724333    
 56                 56000   1.4594939      53.359454     -0.039758263    0.029430085   -0.010328178            0   14.132583      18.339904      11.6177      
 57                 57000   1.0697843      54.802175     -0.054136902    0.021571754   -0.032565147            0   16.153148      19.28729       11.804485    
 58                 58000   1.0487651      79.634325     -0.056630191    0.021147911   -0.03548228             0   15.767396      18.734845      11.310201    
 59                 59000   0.56755223     33.376675     -0.045236075    0.011444454   -0.033791621            0   16.052761      19.457913      11.662943    
 60                 60000   0.61534011     17.439511     -0.048845057    0.012408077   -0.036436981            0   16.03488       19.563375      11.753775    
 61                 61000   1.3428093      70.903454     -0.042185434    0.027077189   -0.015108245            0   16.481792      19.231232      11.860059    
 62                 62000   0.88383484     25.195578     -0.035228928    0.017822161   -0.017406768            0   14.978514      18.040292      12.101792    
 63                 63000   0.79067115     46.001253     -0.030989589    0.015943554   -0.015046035            0   13.338429      17.443267      11.816471    
 64                 64000   1.9082775      118.93247     -0.041973994    0.038479619   -0.0034943751           0   13.762411      17.828743      11.687403    
 65                 65000   1.849275       68.667011     -0.049107946    0.037289858   -0.011818087            0   14.627209      18.712234      11.518891    
 66                 66000   2.517892       110.65151     -0.049686963    0.050772241    0.0010852777           0   15.167536      18.589593      11.760679    
 67                 67000   2.1129016      75.740826     -0.050581589    0.042605779   -0.0079758096           0   16.564952      17.361239      11.809261    
 68                 68000   0.72070984     47.562928     -0.05272174     0.014532813   -0.038188927            0   16.788647      17.643394      11.563896    
 69                 69000   1.3888762      94.582616     -0.058150685    0.028006108   -0.030144577            0   16.554757      17.128942      11.680714    
 70                 70000   0.88243118     54.865338     -0.05907436     0.017793856   -0.041280504            0   16.639647      17.540407      11.727562    
 71                 71000   1.1938308      46.174761     -0.047022171    0.0240731     -0.022949071            0   17.485249      17.172906      11.704835    
 72                 72000   1.2551959      84.558514     -0.053040589    0.025310502   -0.027730087            0   18.675324      17.563029      11.658681    
 73                 73000   1.5126448      108.76972     -0.054497627    0.030501851   -0.023995776            0   18.394019      17.290485      11.676963    
 74                 74000   0.86427742     58.29155      -0.035635882    0.017427793   -0.018208089            0   18.7377        16.811392      11.43602     
 75                 75000   0.73027113     43.976726     -0.038881336    0.014725613   -0.024155723            0   19.569442      15.796999      12.09957     
 76                 76000   1.4375458      59.513115     -0.046924895    0.028987512   -0.017937383            0   19.372332      15.536259      11.805361    
 77                 77000   1.8422542      54.928731     -0.066415135    0.037148287   -0.029266849            0   19.093383      15.75424       11.441689    
 78                 78000   1.4118464      30.730464     -0.044137765    0.028469293   -0.015668472            0   19.84701       16.079226      11.730583    
 79                 79000   0.8415746      7.8249642     -0.048149306    0.01697       -0.031179306            0   17.833314      14.403174      11.627094    
 80                 80000   1.3454362      52.673397     -0.063690209    0.02713016    -0.036560049            0   18.112995      14.350068      11.585081    
 81                 81000   1.0368795      78.845733     -0.062408219    0.020908242   -0.041499976            0   18.346655      14.408631      11.704991    
 82                 82000   1.1112493      62.682198     -0.063439346    0.022407878   -0.041031468            0   18.404604      14.297869      11.649982    
 83                 83000   0.78264577     18.806287     -0.055275706    0.015781725   -0.03949398             0   18.453561      14.38772       11.809739    
 84                 84000   0.69434429     48.499073     -0.046472924    0.014001163   -0.032471761            0   19.000164      13.574445      11.922036    
 85                 85000   0.82125502     25.123215     -0.052879836    0.016560265   -0.036319571            0   19.091228      12.754986      11.61327     
 86                 86000   0.40993864     14.448999     -0.059491446    0.0082662416  -0.051225204            0   19.127866      12.811623      11.516055    
 87                 87000   0.55254475     31.125698     -0.064393566    0.011141834   -0.053251731            0   19.199601      12.841712      11.53601     
 88                 88000   0.69753307     32.156451     -0.052039263    0.014065463   -0.0379738              0   19.001715      12.998206      11.629716    
 89                 89000   1.3177157      80.046929     -0.052608792    0.026571187   -0.026037605            0   19.335532      12.682703      11.728246    
 90                 90000   0.84740903     39.967206     -0.052476315    0.017087649   -0.035388665            0   18.895648      13.296283      11.823198    
 91                 91000   0.49258027     36.226401     -0.065462175    0.0099326755  -0.055529499            0   19.065735      12.767815      11.615498    
