# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Calore specifico 	 Suscettività 	 Dimensione cluster
1     -2.271446943283081      0.8209980726242065     1.185431838035583     1.526967883110046     6637.85302734375
2     -2.271629571914673      0.8208824992179871     1.289323687553406     1.808000206947327     6614.8662109375
3     -2.269673824310303      0.8191529512405396     1.186763763427734     1.946322679519653     6779.11181640625
4     -2.273087739944458      0.821133017539978     1.201748132705688     1.736774206161499     6689.35009765625
5     -2.272152423858643      0.819833517074585     1.139146685600281     1.947096824645996     6678.87109375
6     -2.273412942886353      0.8216375708580017     1.255358934402466     1.695225954055786     6724.33203125
7     -2.269747018814087      0.819725513458252     1.352591037750244     1.849806666374207     6737.39208984375
8     -2.274354219436646      0.8222324252128601     1.198085308074951     1.541935563087463     6968.80078125
9     -2.271491527557373      0.8210980296134949     1.135816931724548     1.623484015464783     6578.5048828125
10     -2.270853519439697      0.8198696374893188     1.173777341842651     1.621935606002808     6687.708984375
11     -2.267150163650513      0.8181877732276917     1.137148857116699     1.869677543640137     6651.2490234375
12     -2.272921562194824      0.8214371204376221     1.222060322761536     1.708903312683105     6700.81201171875
13     -2.27210545539856      0.8204934597015381     1.100187301635742     1.591483950614929     6625.54296875
14     -2.271824598312378      0.820231556892395     1.236378788948059     1.799741983413696     6804.40185546875
15     -2.274336099624634      0.8217688202857971     1.175775170326233     1.740903377532959     6685.73779296875
16     -2.272613525390625      0.8207253217697144     1.140145659446716     1.529290437698364     6454.2021484375
17     -2.272926807403564      0.8205186724662781     1.206077098846436     1.794580698013306     6739.07177734375
18     -2.270111799240112      0.819119393825531     1.243704438209534     1.926451802253723     6592.90380859375
19     -2.271258115768433      0.8201916217803955     1.20374608039856     1.675871133804321     6559.80078125
20     -2.271327972412109      0.8203141689300537     1.484786748886108     1.877935528755188     6643.5322265625
21     -2.271958112716675      0.8208315372467041     1.211737751960754     1.539355039596558     6709.5908203125
22     -2.272823333740234      0.8211486339569092     1.314630508422852     1.91535484790802     6694.14208984375
23     -2.274349212646484      0.822020411491394     1.184432864189148     1.620903372764587     6710.115234375
24     -2.271362781524658      0.8202415108680725     1.317960500717163     1.902709722518921     6663.30810546875
25     -2.271674394607544      0.8198878169059753     1.140811562538147     1.563612937927246     6632.9970703125
26     -2.26941967010498      0.8187300562858582     1.166118621826172     1.762451767921448     6942.0517578125
27     -2.273353576660156      0.8208948373794556     1.208740949630737     1.586064696311951     6780.1279296875
28     -2.269614696502686      0.8194997310638428     1.375567078590393     1.98425817489624     6823.2861328125
29     -2.273770809173584      0.8211738467216492     1.252029061317444     1.896258234977722     6871.5
30     -2.272178888320923      0.8211029171943665     1.159458875656128     1.680000185966492     6787.72412109375
31     -2.270190477371216      0.8194088935852051     1.202414155006409     1.892903327941895     6696.8232421875
32     -2.268310785293579      0.8176159858703613     1.20374608039856     1.777419567108154     6775.51513671875
33     -2.2710280418396      0.8208369016647339     1.136815786361694     1.511484026908875     6735.791015625
34     -2.270528793334961      0.8204561471939087     1.17943811416626     1.562580704689026     6778.56591796875
35     -2.269335985183716      0.8198621869087219     1.231384038925171     1.625548481941223     6846.18994140625
36     -2.268836498260498      0.8196641802787781     1.193423509597778     1.646967768669128     6736.2080078125
37     -2.275269269943237      0.8236215710639954     1.089531779289246     1.461419463157654     6927.34619140625
38     -2.270901441574097      0.8213847875595093     1.330280900001526     1.799741983413696     6820.90576171875
39     -2.272920608520508      0.8211947083473206     1.144474506378174     1.540903329849243     6746.06689453125
40     -2.273071527481079      0.8213099837303162     1.181102991104126     1.970064640045166     6675.5888671875
41     -2.272273540496826      0.8201376795768738     1.227388143539429     1.78374195098877     6711.05908203125
42     -2.270891666412354      0.8204759955406189     1.147138357162476     1.700903296470642     6731.35595703125
43     -2.276839256286621      0.8226578235626221     1.249365210533142     1.691613078117371     6839.23388671875
44     -2.272973537445068      0.8215307593345642     1.227388143539429     1.715354919433594     6602.27490234375
45     -2.268486499786377      0.8181780576705933     1.245702385902405     1.78993558883667     6692.31982421875
46     -2.27342700958252      0.821388840675354     1.129823088645935     1.478451609611511     6745.8798828125
47     -2.271551370620728      0.8209270238876343     1.064557671546936     1.502451658248901     6694.47802734375
48     -2.270289182662964      0.8194721937179565     1.207075953483582     1.74296772480011     6838.77978515625
49     -2.267937660217285      0.8190398216247559     1.282663822174072     1.701032400131226     6525.7578125
50     -2.276816606521606      0.8242688179016113     1.08853280544281     1.399225831031799     6755.6669921875
51     -2.271181344985962      0.8209919929504395     1.258355855941772     1.779613137245178     6828.9072265625
52     -2.273277521133423      0.8204166889190674     1.239375710487366     1.671226024627686     6610.884765625
53     -2.270453691482544      0.8190550804138184     1.22872006893158     1.884774208068848     6627.2138671875
54     -2.270932674407959      0.819754958152771     1.232715964317322     1.760516166687012     6580.52001953125
55     -2.270933389663696      0.8203311562538147     1.148803353309631     1.785548448562622     6598.45703125
56     -2.269687414169312      0.8195357322692871     1.28765869140625     1.625032305717468     6573.72216796875
57     -2.271764755249023      0.820187509059906     1.225390195846558     1.760516166687012     6783.27978515625
58     -2.271470785140991      0.8205544948577881     1.268012523651123     1.786838889122009     6702.63623046875
59     -2.26781702041626      0.8175545334815979     1.25502598285675     1.854967832565308     6712.5009765625
60     -2.269340515136719      0.8201187252998352     1.267013549804688     1.660129070281982     6695.625
61     -2.271981716156006      0.8203547596931458     1.211737751960754     1.692129135131836     6701.76123046875
62     -2.272906541824341      0.8213654160499573     1.174443244934082     1.635871052742004     6686.615234375
63     -2.27142071723938      0.821199893951416     1.293985486030579     1.595096826553345     6613.68310546875
64     -2.2715163230896      0.8218358159065247     1.253028154373169     1.527225852012634     6680.537109375
65     -2.271142721176147      0.8199697136878967     1.269011378288269     2.008774518966675     6459.18017578125
66     -2.271553039550781      0.8203698396682739     1.327950119972229     1.998709797859192     6856.912109375
67     -2.268535375595093      0.8196726441383362     1.293985486030579     1.523355007171631     6830.35791015625
68     -2.274322032928467      0.8221761584281921     1.290322542190552     1.698580622673035     6769.27392578125
69     -2.270928382873535      0.8206100463867188     1.439500451087952     1.777032375335693     6840.759765625
70     -2.263869524002075      0.8156615495681763     1.334276795387268     2.377935647964478     6595.49609375
71     -2.273598432540894      0.8213791847229004     1.232049942016602     1.651354908943176     6741.93408203125
72     -2.272071838378906      0.8209948539733887     1.266680598258972     1.528258204460144     6728.56005859375
73     -2.26744270324707      0.8185442090034485     1.158792972564697     1.518451690673828     6689.2568359375
74     -2.272395133972168      0.8210227489471436     1.208407878875732     1.594322681427002     6661.68798828125
75     -2.271391868591309      0.8200020790100098     1.231050968170166     2.116129159927368     6643.69384765625
76     -2.273603439331055      0.8215396404266357     1.187429785728455     1.526709794998169     6735.39794921875
77     -2.270592927932739      0.8194581866264343     1.17943811416626     1.636129140853882     6697.41796875
78     -2.270407915115356      0.8207120895385742     1.128158211708069     1.565161466598511     6759.78076171875
79     -2.272828578948975      0.8211609125137329     1.193423509597778     1.850064635276794     6992.328125
80     -2.270743608474731      0.8194320201873779     1.243038535118103     2.105290412902832     6660.591796875
81     -2.270983695983887      0.8184762001037598     1.235712766647339     1.864129066467285     6598.333984375
82     -2.271558046340942      0.8202375173568726     1.246368408203125     1.785032391548157     6572.11279296875
83     -2.271860122680664      0.8200449347496033     1.173444390296936     1.76490330696106     6568.69580078125
84     -2.267864227294922      0.8174239993095398     1.367908358573914     2.133032321929932     6688.77880859375
85     -2.273981332778931      0.8223527073860168     1.083871006965637     1.354838728904724     6837.97900390625
86     -2.271976709365845      0.8209043145179749     1.245369434356689     1.733161330223083     6763.1298828125
87     -2.26802921295166      0.818606436252594     1.173444390296936     1.738967776298523     6647.044921875
88     -2.272416353225708      0.8219740390777588     1.177107214927673     1.528258204460144     6588.498046875
89     -2.269806146621704      0.8203274607658386     1.182434916496277     1.480000138282776     6705.06787109375
90     -2.274172306060791      0.8226641416549683     1.235712766647339     1.672774195671082     6687.11376953125
91     -2.271324634552002      0.8202036023139954     1.323954224586487     1.844387292861938     6564.73291015625
92     -2.269798040390015      0.8193525671958923     1.334942817687988     1.772903323173523     6749.2529296875
93     -2.269949197769165      0.8201168179512024     1.309302806854248     1.669419527053833     6654.35986328125
94     -2.273716449737549      0.8201630711555481     1.135150909423828     1.704516172409058     6874.52099609375
95     -2.272134780883789      0.820404589176178     1.328948974609375     2.124903202056885     6586.68798828125
96     -2.273478507995605      0.8224542737007141     1.136149764060974     1.561290383338928     6837.9111328125
97     -2.270628690719604      0.8207449913024902     1.172778367996216     1.55793559551239     6731.89404296875
98     -2.270590305328369      0.8192880749702454     1.183100938796997     1.716645359992981     6612.240234375
99     -2.269031524658203      0.8196349740028381     1.081873059272766     1.477419376373291     6775.38720703125
100     -2.269270420074463      0.8190909028053284     1.478127002716064     1.971096873283386     6737.06396484375
