# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Calore specifico 	 Suscettività
1     -2.853719472885132      0.9989544749259949     -0.05973333120346069     -0.07946667075157166
2     -2.853589773178101      0.9989272356033325     -0.05119999870657921     -0.07413333654403687
3     -2.853768110275269      0.9989617466926575     0.0     -0.07733333855867386
4     -2.85356593132019      0.9989240169525146     -0.01991111226379871     -0.07360000163316727
5     -2.853703022003174      0.9989463686943054     -0.01991111226379871     -0.07306666672229767
6     -2.853604793548584      0.9989279508590698     -0.06542222201824188     -0.06453333795070648
7     -2.853652238845825      0.9989380836486816     -0.06542222201824188     -0.07146666944026947
8     -2.853740215301514      0.9989542961120605     -0.04266666620969772     -0.07146666944026947
9     -2.853690147399902      0.9989451169967651     -0.105244442820549     -0.06719999760389328
10     -2.853711366653442      0.9989497065544128     -0.04835555702447891     -0.07466667145490646
11     -2.853804588317871      0.9989656209945679     0.02275555580854416     -0.07306666672229767
12     -2.85368824005127      0.9989487528800964     -0.06257777661085129     -0.08266666531562805
13     -2.85390567779541      0.9989890456199646     -0.02844444662332535     -0.08106666803359985
14     -2.853754758834839      0.9989557862281799     -0.04835555702447891     -0.06986667215824127
15     -2.853490114212036      0.9989093542098999     -0.0255999993532896     -0.07626666873693466
16     -2.853326559066772      0.9988771677017212     0.03697777539491653     -0.06773333996534348
17     -2.853411197662354      0.9988950490951538     0.01991111226379871     -0.07946667075157166
18     -2.853544235229492      0.9989200234413147     -0.0540444441139698     -0.08160000294446945
19     -2.853776454925537      0.9989647269248962     -0.02275555580854416     -0.07199999690055847
20     -2.853832244873047      0.9989719986915588     -0.1080888882279396     -0.07786666601896286
21     -2.853652238845825      0.9989408254623413     -0.08533333241939545     -0.07946667075157166
22     -2.853405952453613      0.9988958239555359     -0.06542222201824188     -0.06560000032186508
23     -2.853650093078613      0.9989380836486816     -0.0568888932466507     -0.08213333785533905
24     -2.853724002838135      0.9989490509033203     -0.07680000364780426     -0.08373333513736725
25     -2.85370945930481      0.9989487528800964     -0.0540444441139698     -0.07199999690055847
26     -2.853689432144165      0.9989470839500427     -0.02275555580854416     -0.08266666531562805
27     -2.85352087020874      0.9989089965820312     -0.07111111283302307     -0.06773333996534348
28     -2.85352349281311      0.9989217519760132     -0.00284444447606802     -0.08373333513736725
29     -2.853495597839355      0.9989120960235596     -0.06826666742563248     -0.08053334057331085
30     -2.853664636611938      0.9989420175552368     -0.04835555702447891     -0.06560000032186508
31     -2.853660583496094      0.9989365339279175     -0.01991111226379871     -0.07999999821186066
32     -2.853444337844849      0.9988952279090881     -0.06257777661085129     -0.06613333523273468
33     -2.853530645370483      0.9989181756973267     -0.05119999870657921     -0.07306666672229767
34     -2.853496789932251      0.9989109635353088     -0.03982222452759743     -0.07306666672229767
35     -2.853571891784668      0.9989215731620789     -0.09102222323417664     -0.08106666803359985
36     -2.853654623031616      0.9989426732063293     -0.0568888932466507     -0.08533333986997604
37     -2.853521585464478      0.9989137649536133     -0.03413333371281624     -0.06773333996534348
38     -2.853606224060059      0.9989325404167175     -0.03697777539491653     -0.08533333986997604
39     -2.853630781173706      0.9989342093467712     -0.105244442820549     -0.07573333382606506
40     -2.85390043258667      0.9989848732948303     -0.04551111161708832     -0.07626666873693466
41     -2.853554964065552      0.9989201426506042     0.0255999993532896     -0.08053334057331085
42     -2.853656530380249      0.9989437460899353     -0.04835555702447891     -0.08106666803359985
43     -2.853538274765015      0.9989203214645386     -0.04266666620969772     -0.07413333654403687
44     -2.85339617729187      0.9988946318626404     -0.06257777661085129     -0.06880000233650208
45     -2.85374927520752      0.9989579916000366     -0.1109333410859108     -0.07306666672229767
46     -2.853832244873047      0.9989719986915588     0.03982222452759743     -0.07573333382606506
47     -2.853671550750732      0.9989420175552368     -0.04551111161708832     -0.07626666873693466
48     -2.853539228439331      0.9989169836044312     -0.02275555580854416     -0.06719999760389328
49     -2.85361123085022      0.9989301562309265     -0.02275555580854416     -0.07306666672229767
50     -2.853897571563721      0.9989899396896362     -0.09102222323417664     -0.08213333785533905
51     -2.853384494781494      0.9988892674446106     -0.0568888932466507     -0.07466667145490646
52     -2.853621959686279      0.9989351630210876     -0.08248889446258545     -0.06986667215824127
53     -2.85360050201416      0.9989309310913086     -0.06542222201824188     -0.07253333926200867
54     -2.853534698486328      0.9989201426506042     -0.1251555532217026     -0.07786666601896286
55     -2.853906154632568      0.9989867210388184     -0.09386666864156723     -0.08213333785533905
56     -2.853548049926758      0.998920202255249     -0.0540444441139698     -0.07626666873693466
57     -2.853509664535522      0.998910665512085     0.03413333371281624     -0.07146666944026947
58     -2.853543281555176      0.9989206790924072     0.04266666620969772     -0.08266666531562805
59     -2.853670835494995      0.9989443421363831     -0.05973333120346069     -0.07786666601896286
60     -2.853630304336548      0.9989358186721802     -0.04551111161708832     -0.07893333584070206
61     -2.85376238822937      0.9989598393440247     -0.1621333360671997     -0.07626666873693466
62     -2.85367488861084      0.998940110206604     0.02844444662332535     -0.06666667014360428
63     -2.853394269943237      0.9988938570022583     -0.01706666685640812     -0.07946667075157166
64     -2.853614091873169      0.9989289045333862     -0.0255999993532896     -0.07199999690055847
65     -2.853661060333252      0.9989402294158936     -0.03413333371281624     -0.07626666873693466
66     -2.853471994400024      0.9989050030708313     -0.00568888895213604     -0.07413333654403687
67     -2.853760242462158      0.9989619255065918     -0.01991111226379871     -0.06880000233650208
68     -2.853602647781372      0.9989306926727295     -0.01137777790427208     -0.08479999750852585
69     -2.85363507270813      0.9989363551139832     -0.04551111161708832     -0.07999999821186066
70     -2.853765964508057      0.9989625811576843     -0.00568888895213604     -0.07253333926200867
71     -2.853468656539917      0.9989079236984253     -0.07395555078983307     -0.07519999891519547
72     -2.853721380233765      0.9989495873451233     -0.06826666742563248     -0.07840000092983246
73     -2.853575468063354      0.9989237189292908     -0.01422222331166267     -0.07519999891519547
74     -2.853587627410889      0.9989272356033325     -0.01137777790427208     -0.06346666812896729
75     -2.853605508804321      0.9989287853240967     -0.1137777864933014     -0.07626666873693466
76     -2.853855848312378      0.9989795088768005     -0.1023999974131584     -0.08213333785533905
77     -2.853551387786865      0.9989219903945923     -0.01706666685640812     -0.08640000224113464
78     -2.853738784790039      0.998952329158783     -0.00568888895213604     -0.06666667014360428
79     -2.853774309158325      0.9989633560180664     -0.09955555200576782     -0.07039999961853027
80     -2.853450536727905      0.9989045858383179     -0.03697777539491653     -0.07093333452939987
81     -2.853544950485229      0.9989176988601685     -0.08533333241939545     -0.07733333855867386
82     -2.853442430496216      0.9988961219787598     -0.0568888932466507     -0.07253333926200867
83     -2.853723287582397      0.9989504814147949     -0.0255999993532896     -0.07680000364780426
84     -2.853653430938721      0.9989351630210876     -0.03128888830542564     -0.07519999891519547
85     -2.853458404541016      0.9989045858383179     -0.06542222201824188     -0.08373333513736725
86     -2.853621006011963      0.9989371299743652     0.04266666620969772     -0.06666667014360428
87     -2.853645801544189      0.9989393353462219     -0.05973333120346069     -0.06986667215824127
88     -2.853854179382324      0.9989802837371826     -0.1023999974131584     -0.08426667004823685
89     -2.853645086288452      0.9989396333694458     0.0     -0.07093333452939987
90     -2.853738784790039      0.9989558458328247     -0.0540444441139698     -0.07626666873693466
91     -2.853707313537598      0.9989501237869263     0.03697777539491653     -0.08533333986997604
92     -2.853850126266479      0.9989803433418274     -0.07964444905519485     -0.08586666733026505
93     -2.85326099395752      0.9988633990287781     -0.06542222201824188     -0.06613333523273468
94     -2.853547811508179      0.9989175796508789     -0.00568888895213604     -0.06773333996534348
95     -2.853792428970337      0.9989665150642395     -0.1280000060796738     -0.07999999821186066
96     -2.853519916534424      0.9989132881164551     0.01137777790427208     -0.06933333724737167
97     -2.853658676147461      0.9989383816719055     -0.0540444441139698     -0.07306666672229767
98     -2.853408098220825      0.998892068862915     0.06826666742563248     -0.05920000001788139
99     -2.853437423706055      0.9989010691642761     -0.01137777790427208     -0.07786666601896286
100     -2.853570938110352      0.9989259839057922     0.05973333120346069     -0.07039999961853027
