# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Calore specifico 	 Suscettività
1     -1.492524743080139      0.7108613848686218     1.699008584022522     6.716278076171875
2     -1.530093550682068      0.7875995635986328     1.048764228820801     1.72893500328064
3     -1.519872903823853      0.7780603766441345     1.233103394508362     2.247701644897461
4     -1.527808427810669      0.7944862842559814     1.173560619354248     1.469730854034424
5     -1.524229884147644      0.7879005074501038     1.126827359199524     1.54847526550293
6     -1.509792327880859      0.7703969478607178     1.270546436309814     2.288576126098633
7     -1.514861226081848      0.7537632584571838     1.514086365699768     6.340078353881836
8     -1.524518728256226      0.7865023612976074     1.053188323974609     1.454237580299377
9     -1.532313227653503      0.7937474846839905     1.155965328216553     1.525269031524658
10     -1.481619596481323      0.7208868861198425     1.875625729560852     5.491748809814453
11     -1.496780037879944      0.7415620684623718     1.389531254768372     3.861412525177002
12     -1.477330565452576      0.6867682337760925     2.114661455154419     10.14549255371094
13     -1.512857556343079      0.7096735239028931     2.057169675827026     12.89892387390137
14     -1.52503764629364      0.7833599448204041     1.346598505973816     2.860044717788696
15     -1.535551309585571      0.7938211560249329     1.096281886100769     1.597354173660278
16     -1.512691020965576      0.7652925252914429     1.497818112373352     3.441569566726685
17     -1.524793028831482      0.792640209197998     0.8875706195831299     1.031928181648254
18     -1.43895697593689      0.3117856979370117     2.643527984619141     98.92299652099609
19     -1.532005906105042      -0.7950589060783386     1.110921144485474     1.365549325942993
20     -1.51534104347229      -0.7801312208175659     1.105069398880005     1.495425939559937
21     -1.49061119556427      -0.7356193065643311     1.545194864273071     6.019674777984619
22     -1.505152106285095      -0.766351580619812     1.437451004981995     2.341793537139893
23     -1.55798351764679      -0.8161240816116333     1.207424163818359     1.295818328857422
24     -1.513766288757324      -0.7632904648780823     1.280037760734558     2.868520021438599
25     -1.427245497703552      -0.5551428198814392     2.791449546813965     30.29360961914062
26     -1.406375050544739      0.1049245595932007     1.806792736053467     86.77831268310547
27     -1.526745080947876      -0.7855550646781921     1.207826375961304     1.974943995475769
28     -1.477657914161682      -0.6978527903556824     1.962195158004761     8.970873832702637
29     -1.452569127082825      -0.4427831470966339     1.849825978279114     78.232666015625
30     -1.471091032028198      0.689388632774353     1.529771327972412     8.481715202331543
31     -1.513024091720581      0.7657885551452637     1.282853007316589     2.737040281295776
32     -1.50435209274292      0.7570240497589111     1.389249682426453     2.692500114440918
33     -1.426553130149841      0.5590906739234924     1.775684237480164     29.6995906829834
34     -1.508506298065186      -0.7480573058128357     1.679563283920288     6.43321704864502
35     -1.484173059463501      -0.7325627207756042     1.579319953918457     3.12255597114563
36     -1.510092854499817      -0.7695105671882629     1.360353112220764     2.340829610824585
37     -1.530944108963013      -0.7831581830978394     1.301494002342224     2.422006607055664
38     -1.508256077766418      -0.7612164616584778     1.39952540397644     3.123822927474976
39     -1.530603766441345      -0.7927582859992981     1.21052098274231     1.700526714324951
40     -1.557049870491028      -0.8178492784500122     1.162400245666504     1.23876678943634
41     -1.508263349533081      -0.76936936378479     1.279374241828918     1.981636762619019
42     -1.519410729408264      -0.760953426361084     1.250397205352783     3.175089597702026
43     -1.527955651283264      -0.7921279072761536     1.114540815353394     1.618699550628662
44     -1.495833516120911      -0.7308486104011536     1.520360350608826     4.045818328857422
45     -1.485669612884521      -0.7201793193817139     1.420438766479492     4.697981834411621
46     -1.503738284111023      -0.7650655508041382     1.200184941291809     2.263116598129272
47     -1.530457377433777      -0.800233781337738     1.138229250907898     1.215325117111206
48     -1.517452239990234      -0.772156834602356     1.370709180831909     2.225033521652222
49     -1.510752558708191      -0.7583869695663452     1.699591755867004     3.860762119293213
50     -1.533977746963501      -0.797612726688385     1.050775170326233     1.243385672569275
51     -1.485159039497375      -0.7368003726005554     1.406402587890625     3.583452701568604
52     -1.50253438949585      -0.7625148296356201     1.243017077445984     2.474282503128052
53     -1.501593112945557      -0.7526236176490784     1.430372595787048     2.530179262161255
54     -1.493715882301331      -0.7240382432937622     1.592109203338623     5.948049068450928
55     -1.538688063621521      -0.8006563186645508     1.142472147941589     1.275280237197876
56     -1.534740805625916      -0.7886238694190979     1.404532551765442     3.254932641983032
57     -1.541753649711609      -0.7957983016967773     1.210460662841797     2.073228597640991
58     -1.535443425178528      -0.80063396692276     1.3348548412323     1.41114342212677
59     -1.471518516540527      -0.6957278847694397     1.461742520332336     6.900089740753174
60     -1.511346817016602      0.3494369685649872     1.637052774429321     130.8218841552734
61     -1.491577506065369      0.4384863376617432     2.09638237953186     95.21057891845703
62     -1.54158616065979      -0.8010079860687256     1.212632417678833     1.560549259185791
63     -1.523290157318115      -0.7797726988792419     1.505057454109192     3.196423530578613
64     -1.525369882583618      -0.7779321074485779     1.088982224464417     2.628172636032104
65     -1.5092613697052      -0.7590211033821106     1.559532642364502     4.339786529541016
66     -1.520530581474304      -0.7859422564506531     1.524824500083923     1.994349837303162
67     -1.474976420402527      -0.7171682715415955     1.454402804374695     4.175201416015625
68     -1.499597311019897      -0.7523682713508606     1.543264508247375     4.104809284210205
69     -1.500577092170715      -0.7477022409439087     1.484365224838257     3.559215307235718
70     -1.54041576385498      -0.8032031655311584     1.200325727462769     1.379865407943726
71     -1.514034628868103      -0.7673060297966003     1.459027886390686     2.20622181892395
72     -1.502681612968445      -0.7761316299438477     1.171067237854004     1.275482058525085
73     -1.526303768157959      -0.7811805009841919     1.130064964294434     2.234753370285034
74     -1.461817979812622      -0.663472056388855     1.479337930679321     7.466423511505127
75     -1.471853017807007      -0.691827118396759     1.487884283065796     5.639495372772217
