# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Dimensione cluster
1     -1.688799977302551      0.8841999769210815       17638.0
3     -1.688400030136108      0.8819999694824219     8837.5
5     -1.684000015258789      0.8756999969482422     8762.0
7     -1.632200002670288      0.8536999821662903     8579.0
9     -1.66700005531311      0.8664000034332275     8647.0
12     -1.67026674747467      0.8744666576385498     5831.66650390625
14     -1.6528000831604      0.8607000112533569     8688.5
16     -1.682800054550171      0.8766999840736389     8693.0
18     -1.641999959945679      0.851099967956543     8613.0
21     -1.626399993896484      0.8444666862487793     5628.0
24     -1.653866648674011      0.8578000068664551     5739.66650390625
26     -1.649199962615967      0.8610999584197998     8645.0
29     -1.655200004577637      0.8683333396911621     5809.66650390625
31     -1.670599937438965      0.8748999834060669     8726.5
33     -1.646600008010864      0.8623999953269958     8639.5
35     -1.670399904251099      0.8707000017166138     8741.5
37     -1.640799999237061      0.8543999791145325     8577.0
40     -1.677333354949951      0.8778666853904724     5801.66650390625
43     -1.680933356285095      0.8791999816894531     5865.33349609375
45     -1.661200046539307      0.8736000061035156     8751.0
47     -1.656399965286255      0.8598999977111816     8603.0
49     -1.668400049209595      0.8744000196456909     8727.0
51     -1.68339991569519      0.8795000314712524     8802.0
53     -1.659199953079224      0.8586000204086304     8582.0
55     -1.677200078964233      0.8711999654769897     8737.5
57     -1.671200037002563      0.8705999851226807     8719.0
59     -1.686199903488159      0.8863999843597412     8810.0
62     -1.692266821861267      0.8873333334922791     5904.0
65     -1.686399936676025      0.8840000033378601     5896.66650390625
68     -1.664000034332275      0.8732666969299316     5828.66650390625
75     -1.662171363830566      0.8678571581840515     2513.571533203125
77     -1.662999987602234      0.8654999732971191     8675.0
79     -1.640199899673462      0.8513000011444092     8535.5
81     -1.644600033760071      0.8428999781608582     8452.0
83     -1.665199995040894      0.8743000030517578     8686.5
85     -1.643800020217896      0.8581999540328979     8597.0
87     -1.665600061416626      0.8781000375747681     8741.0
89     -1.655200004577637      0.8644000291824341     8620.0
91     -1.669399976730347      0.8738000392913818     8787.5
93     -1.653200030326843      0.869700014591217     8692.5
95     -1.651999950408936      0.8628000020980835     8630.5
97     -1.652999997138977      0.8664000034332275     8653.5
99     -1.646600008010864      0.8639999628067017     8702.0
101     -1.647599935531616      0.8615000247955322     8566.5
103     -1.677799940109253      0.8827000260353088     8783.5
105     -1.663800001144409      0.8702999949455261     8760.0
107     -1.712000012397766      0.8981000185012817     8899.0
110     -1.679200053215027      0.8781332969665527     5831.0
112     -1.678200006484985      0.8819000124931335     8819.5
115     -1.645866751670837      0.8656666278839111     5795.66650390625
117     -1.664999961853027      0.8766999840736389     8738.0
119     -1.664999961853027      0.8689000010490417     8717.5
121     -1.68720006942749      0.8813999891281128     8787.5
124     -1.68666660785675      0.879133403301239     5839.0
126     -1.68779993057251      0.8816999793052673     8831.0
128     -1.661200046539307      0.8675000071525574     8759.0
130     -1.667999982833862      0.8495000004768372     8547.5
132     -1.655200004577637      0.864300012588501     8558.5
134     -1.658599972724915      0.8567999601364136     8597.5
137     -1.649199962615967      0.8643999695777893     5780.0
139     -1.672600030899048      0.8819999694824219     8748.0
142     -1.672133326530457      0.8819333910942078     5870.0
144     -1.654399991035461      0.8665000200271606     8689.5
146     -1.683599948883057      0.8838000297546387     8761.0
148     -1.657400012016296      0.8701000213623047     8767.0
151     -1.67906665802002      0.8821333050727844     5886.66650390625
153     -1.690799951553345      0.8945000171661377     8919.5
155     -1.661999940872192      0.8727999925613403     8821.0
157     -1.679800033569336      0.8781999945640564     8767.5
159     -1.674000024795532      0.8737999796867371     8742.0
162     -1.661200046539307      0.8554666638374329     5724.33349609375
164     -1.669999957084656      0.8755999803543091     8739.5
166     -1.651000022888184      0.8644999861717224     8669.5
168     -1.670599937438965      0.8733000159263611     8694.0
171     -1.701600074768066      0.8924667239189148     5967.33349609375
173     -1.700399994850159      0.8903000354766846     8914.5
175     -1.65939998626709      0.8589999675750732     8666.0
177     -1.675600051879883      0.8824999928474426     8751.5
179     -1.677600026130676      0.8760000467300415     8784.0
181     -1.635200023651123      0.8604999780654907     8656.5
183     -1.662199974060059      0.8755999803543091     8718.5
185     -1.673400044441223      0.8759000301361084     8749.5
187     -1.661600112915039      0.8766999840736389     8765.0
189     -1.657799959182739      0.8697999715805054     8730.5
191     -1.672000050544739      0.875499963760376     8684.5
193     -1.670799970626831      0.8775999546051025     8835.5
195     -1.672399997711182      0.8781000375747681     8755.5
198     -1.652799963951111      0.8628666400909424     5751.33349609375
200     -1.654000043869019      0.8694000244140625     8620.0
202     -1.678600072860718      0.8802000284194946     8822.5
206     -1.666400074958801      0.8773500323295593     4401.0
208     -1.657000064849854      0.8689000010490417     8730.5
211     -1.675600051879883      0.8788666725158691     5865.33349609375
213     -1.684600114822388      0.8812999725341797     8842.0
215     -1.691200017929077      0.8851000070571899     8865.5
218     -1.668266654014587      0.8740666508674622     5828.33349609375
220     -1.668799996376038      0.8774999976158142     8787.0
222     -1.670199990272522      0.8789000511169434     8769.5
224     -1.669399976730347      0.8745999932289124     8785.0
226     -1.658800005912781      0.8646000027656555     8668.5
228     -1.621399998664856      0.8532000184059143     8521.0
230     -1.638000011444092      0.8659999966621399     8659.5
232     -1.631599903106689      0.8472999930381775     8488.0
234     -1.669800043106079      0.8738999962806702     8693.0
236     -1.648999929428101      0.8631000518798828     8675.0
239     -1.649333357810974      0.8617333769798279     5744.0
243     -1.648200035095215      0.8657499551773071     4324.25
245     -1.645799994468689      0.853600025177002     8538.5
247     -1.642199993133545      0.8533999919891357     8500.0
251     -1.662500023841858      0.8740500211715698     4358.75
254     -1.670000076293945      0.8771333694458008     5860.33349609375
256     -1.674200057983398      0.8841999769210815     8807.0
258     -1.660599946975708      0.8748999834060669     8789.5
260     -1.651600003242493      0.861799955368042     8634.0
263     -1.666533470153809      0.8714666366577148     5820.66650390625
265     -1.670400023460388      0.8765000104904175     8750.5
267     -1.66540002822876      0.8766999840736389     8741.5
269     -1.646199941635132      0.8587999939918518     8674.5
272     -1.651600003242493      0.8643333315849304     5746.66650390625
275     -1.668799996376038      0.8822667002677917     5896.66650390625
278     -1.643599987030029      0.863800048828125     5767.66650390625
280     -1.662800073623657      0.857699990272522     8542.0
283     -1.657600045204163      0.8659999966621399     5781.0
285     -1.66700005531311      0.8765000104904175     8746.0
287     -1.682399988174438      0.8847000002861023     8863.5
289     -1.663399934768677      0.8698999881744385     8683.0
291     -1.651799917221069      0.8567999601364136     8625.5
294     -1.66266667842865      0.8714000582695007     5830.33349609375
296     -1.655400037765503      0.8615000247955322     8631.5
298     -1.684000015258789      0.8855000138282776     8808.5
300     -1.665199995040894      0.8717000484466553     8765.5
302     -1.64900004863739      0.8557000160217285     8599.5
304     -1.675999999046326      0.8730000257492065     8640.5
307     -1.690800070762634      0.8742000460624695     5847.0
309     -1.652600049972534      0.8621000051498413     8671.5
311     -1.632799983024597      0.8450000286102295     8452.0
313     -1.651400089263916      0.8626999855041504     8604.5
315     -1.671200037002563      0.8666000366210938     8661.5
318     -1.639999985694885      0.8495333194732666     5706.66650390625
320     -1.694200038909912      0.8902000188827515     8724.5
322     -1.696799993515015      0.8895000219345093     8919.0
324     -1.678600072860718      0.8834999799728394     8879.5
327     -1.660266757011414      0.8608667254447937     5737.33349609375
329     -1.639799952507019      0.8417999744415283     8522.0
331     -1.654000043869019      0.8665000200271606     8526.0
333     -1.674400091171265      0.869700014591217     8659.0
336     -1.670666694641113      0.8699999451637268     5798.0
339     -1.67026674747467      0.8831333518028259     5852.33349609375
341     -1.642400026321411      0.8486000299453735     8549.5
343     -1.652199983596802      0.8698999881744385     8641.5
345     -1.681400060653687      0.8798999786376953     8790.0
347     -1.66540002822876      0.8806999921798706     8807.0
351     -1.676599979400635      0.8840999603271484     4422.5
354     -1.673866629600525      0.8745999336242676     5848.0
356     -1.642199993133545      0.8553999662399292     8552.0
358     -1.666399955749512      0.8682999610900879     8635.5
360     -1.680400013923645      0.8794000148773193     8780.0
362     -1.668999910354614      0.8680999875068665     8739.0
364     -1.668400049209595      0.8765000104904175     8721.5
366     -1.660199999809265      0.865399956703186     8731.0
368     -1.635200023651123      0.8557000160217285     8497.5
370     -1.666199922561646      0.8755999803543091     8733.5
