# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Dimensione cluster
1     -1.457888007164001      0.6481279730796814       331340.0
3     -1.46563196182251      0.6550480127334595     163545.5
5     -1.466271996498108      0.6692880392074585     165973.0
7     -1.460016012191772      0.6727200150489807     168238.5
9     -1.464208006858826      0.6654119491577148     165945.0
16     -1.460201144218445      0.6835393905639648     48750.71484375
20     -1.456444025039673      0.6616060137748718     82703.0
22     -1.460224032402039      0.6569960117340088     163833.5
27     -1.45756471157074      0.6598447561264038     65724.796875
32     -1.449510335922241      0.6361088156700134     63489.6015625
35     -1.455429434776306      0.6354532837867737     105433.0
37     -1.46071195602417      0.6807160377502441     168266.0
40     -1.455370545387268      0.6598266959190369     110907.0
42     -1.460632085800171      0.6750359535217285     168786.0
44     -1.451479911804199      0.658132016658783     166637.0
46     -1.455399990081787      0.6599040031433105     162874.0
48     -1.46397590637207      0.6736600399017334     167740.0
50     -1.460792064666748      0.6732400059700012     168231.0
52     -1.46564793586731      0.6834319829940796     170275.5
55     -1.460351943969727      0.6662106513977051     111231.6640625
58     -1.459184050559998      0.6550399661064148     108829.3359375
60     -1.460911989212036      0.6641039848327637     164236.0
63     -1.463210701942444      0.675373375415802     112619.0
66     -1.466970801353455      0.678325355052948     113284.6640625
69     -1.466101288795471      0.667626678943634     110800.3359375
72     -1.470437407493591      0.6705946922302246     113090.6640625
74     -1.46012806892395      0.6746000051498413     167229.0
78     -1.458176016807556      0.6678680181503296     83040.0
80     -1.456032037734985      0.6284840106964111     160477.5
82     -1.46126401424408      0.6695039868354797     163195.5
84     -1.467200040817261      0.6730920076370239     169183.0
87     -1.460080027580261      0.6620879769325256     110846.6640625
90     -1.45799458026886      0.6427760124206543     107704.3359375
92     -1.460864067077637      0.6939799785614014     170052.5
98     -1.459399819374084      0.6772746443748474     56713.0
100     -1.456367969512939      0.65339195728302     164459.0
105     -1.453356862068176      0.6509631872177124     65875.0
109     -1.457787990570068      0.6547200083732605     83391.5
