# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Calore specifico 	 Suscettività
1     -0.4620969593524933      0.0003455989062786102     0.1966249942779541     1.395236372947693
2     -0.4621092677116394      5.88667971896939e-05     0.1938749998807907     1.332946181297302
3     -0.4623745083808899      -0.0005379336071200669     0.1919583380222321     1.335629105567932
4     -0.462270051240921      -0.0002659998135641217     0.1923958361148834     1.329883217811584
5     -0.4623482227325439      0.0004111333400942385     0.2060000002384186     1.379411458969116
6     -0.4622768461704254      0.0001717996346997097     0.193020835518837     1.339962005615234
7     -0.4620928466320038      -0.0009729976882226765     0.1980624943971634     1.403871417045593
8     -0.4621489942073822      -0.0006652006995864213     0.1945208311080933     1.374267935752869
9     -0.4620187878608704      0.0003728003357537091     0.1833750009536743     1.344498991966248
10     -0.4621875286102295      0.0006679984508082271     0.1872708350419998     1.341669797897339
11     -0.4626141786575317      -0.001051799510605633     0.1971666663885117     1.375866889953613
12     -0.4625554978847504      -0.0005885999999009073     0.2014999985694885     1.401315093040466
13     -0.4619462192058563      0.0006672660238109529     0.1963125020265579     1.376264929771423
14     -0.4622056484222412      0.0008471339824609458     0.1920416653156281     1.412167310714722
15     -0.4624139368534088      -4.053317752550356e-05     0.189687505364418     1.444243788719177
16     -0.4622326791286469      -0.0005314003792591393     0.1918541640043259     1.282209753990173
17     -0.4622151255607605      -0.001012868015095592     0.1942083388566971     1.363720655441284
18     -0.4620125591754913      0.001392599078826606     0.1941458284854889     1.502672553062439
19     -0.4623531401157379      -0.0005414659390226007     0.1947916597127914     1.364400267601013
20     -0.4621357023715973      0.0009359338437207043     0.2028333395719528     1.344092965126038
21     -0.462132453918457      0.0006391326896846294     0.1941875070333481     1.387899875640869
22     -0.4619927108287811      -0.0003980672045145184     0.1927708387374878     1.327022790908813
23     -0.4625487327575684      -5.299964686855674e-05     0.1920624971389771     1.408940434455872
24     -0.4620252251625061      -0.0004184658464509994     0.1915416717529297     1.299128890037537
25     -0.4617971479892731      0.0002509329351596534     0.1891041696071625     1.369421601295471
26     -0.4621476233005524      -0.0007029981352388859     0.1957291662693024     1.302821159362793
27     -0.4621468484401703      0.0006046011694706976     0.1950416713953018     1.434999465942383
28     -0.4619512259960175      -0.0004237335815560073     0.1956041604280472     1.348345637321472
29     -0.4622710645198822      0.0002707327657844871     0.1986041665077209     1.317894101142883
30     -0.4620075821876526      0.0003172012511640787     0.1933541595935822     1.34401524066925
31     -0.4623477458953857      -2.133246016455814e-05     0.2007291615009308     1.415035128593445
32     -0.4624232947826385      0.0004452664870768785     0.1943958401679993     1.314680695533752
33     -0.4620657861232758      -0.0008260011090897024     0.20077084004879     1.342414855957031
34     -0.4620547294616699      -0.0002674002025742084     0.2003333270549774     1.364521265029907
35     -0.4619047343730927      -0.0003320007817819715     0.1969166696071625     1.368337273597717
36     -0.4620282649993896      0.0001839332398958504     0.1958541721105576     1.408367872238159
37     -0.4620185196399689      0.0002235334686702117     0.1945416629314423     1.358722448348999
38     -0.4619743525981903      0.0003284665872342885     0.1961250007152557     1.370076537132263
39     -0.4619885981082916      -0.0003095327410846949     0.1937291622161865     1.39433741569519
40     -0.4621056020259857      0.0003040665469598025     0.1891041696071625     1.410705924034119
41     -0.4619937837123871      -0.0002839334192685783     0.2062708288431168     1.378102540969849
42     -0.4621186852455139      0.00114293210208416     0.1936458349227905     1.381662249565125
43     -0.4620911777019501      -0.0009811343625187874     0.1959583312273026     1.325120210647583
44     -0.4618802964687347      -0.0006140664918348193     0.197624996304512     1.382472634315491
45     -0.4621237516403198      -0.0001908656558953226     0.1950625032186508     1.39752185344696
46     -0.4623197317123413      1.106698800867889e-05     0.1978749930858612     1.393685579299927
47     -0.4625207185745239      -0.0007795337005518377     0.1970625072717667     1.305972099304199
48     -0.4622616469860077      0.0009928011568263173     0.1870000064373016     1.323802351951599
49     -0.4617604911327362      -0.000109600427094847     0.2001666724681854     1.263340473175049
50     -0.4621295630931854      0.001229336834512651     0.1919375061988831     1.32137405872345
51     -0.4622356295585632      0.0002227998047601432     0.1992291659116745     1.37148129940033
52     -0.4622781872749329      -0.0009153317660093307     0.1959791630506516     1.392992973327637
53     -0.4622793793678284      0.0005895997164770961     0.1925833374261856     1.413917183876038
54     -0.4619126915931702      -0.0002504669828340411     0.1928749978542328     1.300217628479004
55     -0.4623094201087952      -0.0008949333569034934     0.1924791634082794     1.391641974449158
56     -0.4621554315090179      0.0008888010052032769     0.1962916702032089     1.328640103340149
57     -0.4624478816986084      -0.0008525323355570436     0.1854999959468842     1.390971183776855
58     -0.4619785249233246      -0.0001730665826471522     0.1934583336114883     1.363597393035889
59     -0.4616420865058899      -0.0009714669431559741     0.1980208307504654     1.387943506240845
60     -0.4621473252773285      0.0005360667128115892     0.1925416737794876     1.378038048744202
61     -0.4620198607444763      -0.0004850662953685969     0.1955416649580002     1.388971209526062
62     -0.4624445736408234      -0.0007345326594077051     0.1969166696071625     1.366508960723877
63     -0.462193638086319      -0.0009906666819006205     0.1913958340883255     1.319276690483093
64     -0.4620644450187683      -0.0003738664672710001     0.2036041617393494     1.304452776908875
65     -0.4622742831707001      -0.0005800665821880102     0.1923333406448364     1.342744827270508
66     -0.4619210660457611      0.000543933070730418     0.1947083324193954     1.347161531448364
67     -0.4619430601596832      0.000441465963376686     0.1909166723489761     1.428861498832703
68     -0.4619513750076294      0.0005223351181484759     0.1919791698455811     1.379135370254517
69     -0.4622181355953217      0.000709066865965724     0.1971250027418137     1.333095073699951
70     -0.4615807235240936      0.001254131551831961     0.1938333362340927     1.337958574295044
71     -0.4622092247009277      2.373338247707579e-05     0.2007499933242798     1.352570772171021
72     -0.4622160792350769      -0.000698933785315603     0.1910833269357681     1.345752954483032
73     -0.4621652960777283      -0.0005176005652174354     0.1967916637659073     1.321213006973267
74     -0.4618948996067047      -0.0007612669724039733     0.1857916712760925     1.330587148666382
75     -0.4620507955551147      -0.0002782666124403477     0.2003541737794876     1.378014802932739
76     -0.4622924029827118      -7.046612881822512e-05     0.1898750066757202     1.380628228187561
77     -0.4616777896881104      -5.293304639053531e-05     0.1898958384990692     1.368234992027283
78     -0.4618740677833557      4.306641130824573e-05     0.1955624967813492     1.343635439872742
79     -0.4621533155441284      -0.001162933185696602     0.1939374953508377     1.36925482749939
80     -0.4620148241519928      0.001720866071991622     0.1891458332538605     1.382954955101013
81     -0.4623960852622986      0.0005093327490612864     0.1910208314657211     1.45505952835083
82     -0.4619353115558624      -0.0005422669928520918     0.1943541616201401     1.388781785964966
83     -0.4620940387248993      0.001052400912158191     0.1908333301544189     1.412595510482788
84     -0.4623768329620361      -0.0001327335194218904     0.1906666606664658     1.437826156616211
85     -0.4619905650615692      0.0003418666019570082     0.1818124949932098     1.347993850708008
86     -0.4622057378292084      -0.001140600070357323     0.1916249990463257     1.369666934013367
87     -0.4622447490692139      -0.001479601487517357     0.1889583319425583     1.345829844474792
88     -0.4618263244628906      0.0002392657625023276     0.1966458261013031     1.354214191436768
89     -0.4621812701225281      -0.0002129327185684815     0.193104162812233     1.310197234153748
90     -0.4625121653079987      0.0001620675175217912     0.1951874941587448     1.326795220375061
91     -0.4617159366607666      -0.0008436667267233133     0.190708339214325     1.333602428436279
92     -0.4621588885784149      7.03332043485716e-05     0.1949374973773956     1.331049799919128
93     -0.4620170593261719      0.0005785996909253299     0.1929374933242798     1.352557182312012
94     -0.4623760879039764      0.0005042664124630392     0.1933958381414413     1.432469725608826
95     -0.4621443152427673      0.0006886665942147374     0.2010625004768372     1.328623652458191
96     -0.4624974727630615      0.0007596022333018482     0.1932291686534882     1.367905378341675
97     -0.4623335301876068      0.0009814659133553505     0.1965416669845581     1.364259243011475
