# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Dimensione cluster
1     -1.655099987983704      0.8686500191688538       69578.0
4     -1.664766669273376      0.8709333539009094     23238.666015625
6     -1.66509997844696      0.8708250522613525     34821.5
8     -1.652199983596802      0.864425003528595     34669.5
10     -1.658550024032593      0.868025004863739     34620.0
12     -1.649349927902222      0.8588500022888184     34523.0
14     -1.66225004196167      0.8712749481201172     34672.0
16     -1.669700026512146      0.8727749586105347     34950.0
18     -1.654900074005127      0.8585749864578247     34515.5
23     -1.655199766159058      0.8638299703598022     13804.2001953125
25     -1.657850027084351      0.8675750494003296     34628.0
27     -1.662349939346313      0.871275007724762     34823.0
29     -1.65690004825592      0.8639500141143799     34680.0
32     -1.661899924278259      0.8645833134651184     23054.0
35     -1.670233249664307      0.8736000061035156     23276.0
37     -1.661550045013428      0.8727999925613403     34862.0
39     -1.665050029754639      0.8687750101089478     34825.5
41     -1.648400068283081      0.8607250452041626     34388.0
43     -1.657299995422363      0.862375020980835     34519.5
45     -1.658550024032593      0.86285001039505     34571.5
47     -1.673049926757812      0.8756499886512756     34853.0
49     -1.66129994392395      0.8692499995231628     34936.0
51     -1.652600049972534      0.8614499568939209     34417.0
53     -1.659749984741211      0.8685749769210815     34795.0
56     -1.664600014686584      0.8674333095550537     23153.0
58     -1.678450107574463      0.8758000135421753     35007.0
60     -1.674600005149841      0.8754000067710876     34993.5
63     -1.678066611289978      0.8814666867256165     23545.333984375
65     -1.672899961471558      0.8772749900817871     35062.5
67     -1.66509997844696      0.8737249970436096     35033.5
69     -1.660150051116943      0.8703750371932983     34908.5
72     -1.663833260536194      0.8723166584968567     23208.333984375
75     -1.663533329963684      0.8735167384147644     23279.333984375
77     -1.668499946594238      0.8749250173568726     34975.5
79     -1.660949945449829      0.8627749681472778     34646.0
81     -1.655699968338013      0.8674499988555908     34687.0
83     -1.655050039291382      0.8618249893188477     34456.0
85     -1.65090000629425      0.859874963760376     34358.5
88     -1.658399939537048      0.8681833148002625     23154.333984375
91     -1.657133221626282      0.8698167204856873     23207.333984375
93     -1.641799926757812      0.8532500267028809     34245.0
97     -1.65832507610321      0.8619500398635864     17240.25
99     -1.659950017929077      0.869825005531311     34832.5
101     -1.650099992752075      0.8616750240325928     34587.5
103     -1.653049945831299      0.8658999800682068     34589.0
105     -1.642199993133545      0.8590500354766846     34461.5
107     -1.655200004577637      0.8655250072479248     34507.0
110     -1.660533428192139      0.8696333765983582     23167.333984375
112     -1.670000076293945      0.8759750127792358     35061.5
114     -1.679549932479858      0.8758000135421753     34990.0
116     -1.664499998092651      0.8715000152587891     34942.0
118     -1.67110002040863      0.8705499768257141     34828.5
120     -1.671600103378296      0.8777250051498413     35036.5
123     -1.655966758728027      0.8667833209037781     23177.666015625
125     -1.651000022888184      0.8629250526428223     34402.5
128     -1.660933375358582      0.8689000010490417     23143.0
131     -1.683033347129822      0.8801500201225281     23450.333984375
134     -1.681166648864746      0.8780333399772644     23387.0
136     -1.676550030708313      0.8766000270843506     35096.0
138     -1.665499925613403      0.8718500137329102     34918.5
140     -1.650550007820129      0.8661500215530396     34663.0
142     -1.659300088882446      0.8688499927520752     34807.5
144     -1.652300000190735      0.8641500473022461     34538.5
