# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione
1     -601.400146484375      0.07000000029802322
2     -629.5602416992188      0.07800000160932541
3     -604.5203857421875      0.0260000005364418
4     -584.880126953125      0.04399999976158142
5     -601.3597412109375      0.06800000369548798
6     -577.9593505859375      0.09799999743700027
7     -573.3995361328125      0.07000000029802322
8     -614.3602294921875      0.1180000007152557
9     -572.840576171875      0.04199999943375587
10     -579.7604370117188      -0.01200000010430813
11     -552.0396118164062      0.002000000094994903
12     -603.6403198242188      -0.01799999922513962
13     -604.3595581054688      0.01799999922513962
14     -575.759033203125      -0.01200000010430813
15     -579.6403198242188      -0.01799999922513962
16     -587.5591430664062      -0.02199999988079071
17     -550.9597778320312      -0.05200000107288361
18     -547.6395874023438      -0.01799999922513962
19     -572.1182861328125      0.006000000052154064
20     -592.9584350585938      0.04800000041723251
21     -557.6790161132812      0.08399999886751175
22     -569.1588745117188      0.05799999833106995
23     -592.3591918945312      0.01799999922513962
24     -536.5594482421875      0.02800000086426735
25     -551.9995727539062      0.0
26     -588.91943359375      0.04600000008940697
27     -613.2789916992188      0.06400000303983688
28     -637.6802368164062      0.08399999886751175
29     -614.9591674804688      0.1480000019073486
30     -570.7592163085938      0.1379999965429306
31     -594.0391235351562      0.1019999980926514
32     -617.03955078125      0.05200000107288361
33     -621.3593139648438      0.06800000369548798
34     -608.9597778320312      0.04800000041723251
35     -629.3184204101562      0.06599999964237213
36     -581.6394653320312      0.0820000022649765
37     -584.1997680664062      0.009999999776482582
38     -561.2396240234375      0.06199999898672104
39     -574.239501953125      0.1120000034570694
40     -565.5997924804688      0.07999999821186066
41     -626.2001953125      0.1099999994039536
42     -618.4396362304688      0.1220000013709068
43     -589.9605712890625      0.09799999743700027
44     -628.7994384765625      0.03999999910593033
45     -588.9996337890625      0.05000000074505806
46     -606.800048828125      0.1400000005960464
47     -615.880126953125      0.1940000057220459
48     -600.3200073242188      0.2160000056028366
49     -579.4403076171875      0.1720000058412552
50     -543.119384765625      0.1560000032186508
51     -567.6798706054688      0.1840000003576279
52     -546.6001586914062      0.1299999952316284
53     -557.5606689453125      0.07800000160932541
54     -616.5999145507812      0.02999999932944775
55     -597.320556640625      0.06599999964237213
56     -597.9608154296875      0.09799999743700027
57     -581.8006591796875      0.09000000357627869
58     -577.0003662109375      0.05000000074505806
59     -561.7196044921875      0.08600000292062759
60     -532.4793701171875      0.02400000020861626
61     -559.9596557617188      -0.002000000094994903
62     -592.400390625      0.01999999955296516
63     -592.6005249023438      0.02999999932944775
64     -608.960205078125      0.04800000041723251
65     -592.96044921875      0.04800000041723251
66     -572.4805908203125      0.02400000020861626
67     -583.8805541992188      -0.006000000052154064
68     -575.6402587890625      -0.01799999922513962
69     -539.4395751953125      -0.02800000086426735
70     -588.3998413085938      0.01999999955296516
71     -560.2396240234375      0.01200000010430813
72     -561.31982421875      0.06599999964237213
73     -569.519775390625      0.07599999755620956
74     -605.0406494140625      0.05200000107288361
75     -625.00048828125      0.05000000074505806
76     -629.23974609375      0.06199999898672104
77     -594.5601196289062      0.1280000060796738
78     -655.7990112304688      0.1899999976158142
79     -614.6392822265625      0.1319999992847443
80     -585.8792724609375      0.09399999678134918
81     -578.3599243164062      0.1180000007152557
82     -558.4798583984375      0.1239999979734421
83     -566.5192260742188      0.1260000020265579
84     -553.079833984375      0.05400000140070915
85     -528.9202270507812      0.04600000008940697
86     -571.9200439453125      -0.004000000189989805
87     -556.8797607421875      0.04399999976158142
88     -564.120361328125      0.006000000052154064
89     -575.5205078125      -0.02400000020861626
90     -587.8406372070312      -0.00800000037997961
91     -603.7200927734375      -0.01400000043213367
92     -607.4799194335938      -0.0260000005364418
93     -603.6395263671875      -0.01799999922513962
94     -604.0401000976562      0.002000000094994903
95     -616.4800415039062      0.02400000020861626
96     -581.280029296875      0.06400000303983688
97     -527.880859375      -0.006000000052154064
98     -592.6398315429688      0.03200000151991844
99     -597.8004760742188      0.09000000357627869
100     -581.9996948242188      0.1000000014901161
101     -553.320068359375      0.06599999964237213
102     -529.56005859375      0.07800000160932541
103     -534.9594116210938      0.1480000019073486
104     -547.39990234375      0.1700000017881393
105     -566.20068359375      0.1099999994039536
106     -613.7998657226562      0.09000000357627869
107     -633.8005981445312      0.09000000357627869
108     -625.4805908203125      0.07400000095367432
109     -593.5205688476562      0.07599999755620956
110     -572.7606201171875      0.03799999877810478
111     -555.8804321289062      -0.006000000052154064
112     -584.6004638671875      0.02999999932944775
113     -547.5599975585938      -0.02199999988079071
114     -600.4411010742188      0.02199999988079071
115     -636.0406494140625      0.002000000094994903
116     -625.0806884765625      0.05400000140070915
117     -629.2410278320312      0.06199999898672104
118     -614.4405517578125      0.1220000013709068
119     -621.8406372070312      0.09200000017881393
120     -584.6796875      0.03400000184774399
121     -596.1998901367188      0.009999999776482582
122     -571.7593994140625      -0.01200000010430813
123     -595.3993530273438      -0.02999999932944775
124     -579.8001098632812      -0.009999999776482582
125     -596.1600952148438      0.00800000037997961
126     -599.48046875      -0.0260000005364418
127     -596.2398071289062      0.01200000010430813
128     -573.0796508789062      0.05400000140070915
129     -615.6396484375      -0.01799999922513962
130     -612.5994873046875      0.02999999932944775
131     -624.83935546875      0.04199999943375587
132     -668.91943359375      0.04600000008940697
133     -666.0003051757812      0.1000000014901161
134     -590.4795532226562      0.1239999979734421
135     -618.320556640625      0.1159999966621399
136     -557.519775390625      0.07599999755620956
137     -564.1998291015625      0.009999999776482582
138     -607.0006713867188      -0.05000000074505806
139     -584.0403442382812      0.002000000094994903
140     -620.041015625      0.002000000094994903
141     -596.2003173828125      0.009999999776482582
142     -608.5203857421875      0.0260000005364418
143     -589.2396850585938      0.06199999898672104
144     -572.1202392578125      0.006000000052154064
145     -607.2398681640625      -0.03799999877810478
146     -591.079833984375      -0.04600000008940697
147     -587.6400756835938      -0.01799999922513962
148     -555.9996337890625      0.0
149     -583.8004150390625      -0.009999999776482582
150     -612.8803100585938      0.04399999976158142
151     -580.5997314453125      0.02999999932944775
152     -595.7197265625      -0.01400000043213367
153     -583.9599609375      -0.002000000094994903
154     -624.1998901367188      0.009999999776482582
155     -625.000244140625      0.05000000074505806
156     -601.3197631835938      0.06599999964237213
157     -617.7202758789062      0.08600000292062759
158     -621.5599365234375      0.07800000160932541
159     -609.0399780273438      0.05200000107288361
160     -577.0399780273438      0.05200000107288361
161     -583.9596557617188      -0.002000000094994903
162     -584.5996704101562      0.02999999932944775
163     -563.3603515625      -0.03200000151991844
164     -558.4804077148438      -0.07599999755620956
165     -543.1998291015625      -0.03999999910593033
166     -560.2800903320312      0.01400000043213367
167     -616.0400390625      0.002000000094994903
168     -652.39990234375      0.01999999955296516
169     -596.799560546875      0.03999999910593033
170     -589.8402099609375      0.09200000017881393
171     -589.4799194335938      0.07400000095367432
172     -562.2801513671875      0.1140000000596046
173     -557.1600952148438      0.05799999833106995
174     -525.3201293945312      0.06599999964237213
175     -588.8796997070312      0.04399999976158142
176     -560.6801147460938      0.03400000184774399
177     -572.7592163085938      0.03799999877810478
178     -576.7190551757812      0.03599999845027924
179     -567.7593994140625      -0.01200000010430813
180     -580.0396728515625      0.002000000094994903
181     -561.0399780273438      0.05200000107288361
182     -540.960693359375      0.04800000041723251
183     -621.5609130859375      0.07800000160932541
184     -613.6805419921875      0.08399999886751175
185     -621.4407348632812      0.07199999690055847
186     -605.8001708984375      0.09000000357627869
187     -627.5609130859375      -0.02199999988079071
188     -596.4000854492188      0.01999999955296516
189     -571.4389038085938      -0.02800000086426735
190     -584.2390747070312      0.01200000010430813
191     -604.5994262695312      0.02999999932944775
192     -572.6787719726562      0.03400000184774399
