Simulazione modello di Ising2D
# mossa   Energia    Magnetizzazione
244 -1.99719 0.999281
245 -1.99731 0.999314
246 -1.9971 0.999262
247 -1.99721 0.999284
248 -1.99722 0.999295
249 -1.99709 0.999261
250 -1.99719 0.999286
251 -1.99707 0.999254
252 -1.99697 0.999224
253 -1.99718 0.99928
254 -1.9972 0.999289
255 -1.99716 0.999278
256 -1.99731 0.999315
257 -1.99727 0.9993
258 -1.99713 0.99927
259 -1.9974 0.999336
260 -1.99692 0.999213
261 -1.99726 0.999301
262 -1.99704 0.999248
263 -1.99709 0.999257
264 -1.99724 0.999296
265 -1.99702 0.99924
266 -1.99726 0.999303
267 -1.99726 0.999299
268 -1.99701 0.999241
269 -1.99718 0.999283
270 -1.99714 0.999274
271 -1.99721 0.999288
272 -1.99713 0.999268
273 -1.99723 0.999294
274 -1.99739 0.999333
275 -1.99721 0.99929
276 -1.99715 0.999274
277 -1.99704 0.999242
278 -1.99717 0.99928
279 -1.99721 0.999291
280 -1.99712 0.999261
281 -1.99697 0.999228
282 -1.99712 0.999266
283 -1.99715 0.999273
284 -1.99716 0.999276
285 -1.99721 0.999289
286 -1.99699 0.999235
287 -1.99721 0.999293
288 -1.99709 0.999258
289 -1.99729 0.999313
290 -1.99718 0.999281
291 -1.99719 0.999287
292 -1.99733 0.999322
293 -1.99707 0.999253
294 -1.99724 0.999298
295 -1.99709 0.999261
296 -1.99702 0.999245
297 -1.99726 0.9993
298 -1.99709 0.999261
299 -1.99705 0.999248
300 -1.99717 0.999281
301 -1.99714 0.999269
302 -1.99714 0.999274
303 -1.99701 0.999236
304 -1.99721 0.99929
305 -1.99706 0.999249
306 -1.99711 0.999266
307 -1.99727 0.999301
308 -1.99708 0.999256
309 -1.99702 0.999241
310 -1.99726 0.999305
311 -1.99723 0.999292
312 -1.99717 0.999282
313 -1.99708 0.999261
314 -1.99725 0.9993
315 -1.99719 0.999283
316 -1.99721 0.999289
317 -1.99735 0.999326
318 -1.99701 0.999238
319 -1.99725 0.999302
320 -1.9971 0.999262
321 -1.99718 0.999283
322 -1.99723 0.999295
323 -1.997 0.999237
324 -1.99725 0.999295
325 -1.99723 0.999296
326 -1.9971 0.999263
327 -1.99726 0.999303
328 -1.9971 0.999261
329 -1.99716 0.999278
330 -1.99715 0.999276
331 -1.99711 0.999262
332 -1.99708 0.999254
333 -1.99726 0.999307
334 -1.99739 0.999336
335 -1.99716 0.999275
336 -1.99709 0.999255
337 -1.99729 0.999307
338 -1.99705 0.999242
339 -1.99718 0.999277
340 -1.99719 0.999283
341 -1.99732 0.99932
342 -1.99755 0.999376
343 -1.99702 0.999242
344 -1.99716 0.999276
345 -1.99727 0.999304
346 -1.99725 0.999298
347 -1.99728 0.999308
348 -1.99714 0.999274
349 -1.99713 0.999268
350 -1.9972 0.99929
351 -1.9971 0.999263
352 -1.99705 0.999249
353 -1.9971 0.999264
354 -1.99717 0.999278
355 -1.99728 0.999308
356 -1.99706 0.999249
357 -1.99712 0.999266
358 -1.99697 0.999226
359 -1.9971 0.999259
360 -1.9972 0.999285
361 -1.99714 0.999271
362 -1.99712 0.999265
363 -1.99716 0.999279
364 -1.99722 0.999292
