# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Calore specifico 	 Suscettività
1     -552.5746459960938      -2.658981800079346     461.3734436035156     12644.498046875
2     -553.0830688476562      2.317973375320435     411.5660705566406     9769.740234375
3     -552.8807983398438      2.041079759597778     540.0166015625     12068.275390625
4     -553.0685424804688      1.931479334831238     458.7520141601562     9343.1474609375
5     -552.9696655273438      2.788186550140381     361.7587280273438     14967.978515625
6     -553.1484985351562      -0.01821316592395306     422.0518493652344     9557.9404296875
7     -553.50830078125      -1.931657910346985     542.6380615234375     5695.2880859375
8     -552.976318359375      2.472679615020752     484.9663696289062     8208.5439453125
9     -552.2891845703125      -2.35066032409668     432.53759765625     10136.0673828125
10     -553.3997802734375      1.834693670272827     395.8374328613281     6045.82568359375
11     -552.7881469726562      -6.687140941619873     408.9446105957031     13144.283203125
12     -553.6249389648438      3.725534915924072     398.4588623046875     10207.716796875
13     -552.7615966796875      -3.119085550308228     361.7587280273438     4534.1884765625
14     -552.8423461914062      -3.070512533187866     327.6799926757812     4501.70166015625
15     -552.802734375      2.83955454826355     403.7017517089844     4627.0556640625
16     -552.5408325195312      5.412525653839111     380.1087951660156     10543.0234375
17     -553.34619140625      2.804313182830811     443.0233459472656     4967.94677734375
18     -553.53564453125      3.678067445755005     479.7235107421875     9716.0830078125
19     -553.4606323242188      2.560152292251587     343.4086303710938     8417.27734375
20     -552.9456176757812      -0.1328150480985641     490.2092895507812     14153.18359375
21     -553.2924194335938      3.000647068023682     369.6230163574219     16432.1484375
22     -552.680419921875      -5.259377956390381     416.8089294433594     3686.63525390625
23     -552.4926147460938      -3.903072834014893     346.0300598144531     5780.416015625
24     -552.7827758789062      -0.645866334438324     395.8374328613281     2966.1748046875
25     -552.9292602539062      2.029179573059082     338.1657409667969     10648.5185546875
26     -552.8021850585938      -0.9257072806358337     492.8307189941406     13136.8359375
27     -553.1370239257812      0.9317789077758789     458.7520141601562     7629.00146484375
28     -552.6043701171875      -1.069873452186584     372.2444763183594     7075.99169921875
29     -552.779296875      -0.9360799789428711     471.8591918945312     29543.177734375
30     -553.7123413085938      5.15535306930542     422.0518493652344     8851.2392578125
31     -553.0948486328125      3.803833246231079     395.8374328613281     4851.099609375
32     -552.7182006835938      -2.917461395263672     477.10205078125     10337.294921875
33     -552.904052734375      4.871662139892578     440.4019165039062     15566.189453125
34     -552.5922241210938      -1.059986352920532     390.5945739746094     11167.1494140625
35     -553.2640991210938      -4.357385635375977     574.0953979492188     12432.064453125
36     -553.311279296875      -2.171647548675537     448.2662048339844     10293.177734375
37     -553.5579223632812      -6.482378482818604     508.5593566894531     4566.63037109375
38     -552.5311279296875      5.042206287384033     505.9378967285156     9030.599609375
39     -553.042236328125      6.086114883422852     581.959716796875     4792.81591796875
40     -552.6063232421875      0.4137267768383026     474.4806213378906     5380.658203125
41     -552.7984619140625      -0.5201675295829773     403.7017517089844     9052.8193359375
42     -552.9204711914062      6.748678207397461     377.4873352050781     5303.265625
43     -552.896728515625      8.380627632141113     511.1807861328125     5448.6611328125
44     -553.462646484375      0.6967073678970337     385.3516540527344     10185.4130859375
45     -553.0154418945312      3.356685876846313     338.1657409667969     8465.9267578125
46     -553.9366455078125      2.763332843780518     471.8591918945312     10301.923828125
47     -553.4403076171875      7.288655281066895     487.5878295898438     15248.3056640625
48     -552.9471435546875      5.89540958404541     448.2662048339844     9429.447265625
49     -552.8961791992188      -0.7738139629364014     487.5878295898438     2646.25341796875
50     -553.29541015625      -2.916489124298096     432.53759765625     9376.1669921875
51     -552.4400024414062      -5.234379291534424     503.3164672851562     5993.5546875
52     -552.4479370117188      0.6811869144439697     411.5660705566406     8132.4560546875
53     -553.0790405273438      -0.8749129176139832     387.9731140136719     6285.34228515625
54     -553.4093017578125      -0.2595197856426239     422.0518493652344     7064.5
55     -553.3777465820312      -0.2727807760238647     490.2092895507812     12056.4150390625
56     -553.2406616210938      0.4364468455314636     380.1087951660156     2776.101806640625
57     -553.5011596679688      -10.85009098052979     367.0015869140625     8235.998046875
58     -553.1654663085938      -4.32037353515625     390.5945739746094     7966.66162109375
59     -553.3306274414062      -3.58461594581604     338.1657409667969     10237.8935546875
60     -553.0397338867188      -0.3008599877357483     351.27294921875     9071.04296875
61     -553.7949829101562      0.2380190193653107     369.6230163574219     9360.8828125
62     -553.4105224609375      3.04616117477417     351.27294921875     5979.021484375
63     -553.5560302734375      -1.03729259967804     317.1942138671875     5313.9130859375
64     -553.5286865234375      -6.412612915039062     393.2160034179688     12790.6953125
65     -552.9246215820312      1.7982257604599     521.6665649414062     11603.5166015625
66     -553.3119506835938      -0.5796261429786682     382.730224609375     10368.150390625
67     -553.5875854492188      -8.786249160766602     492.8307189941406     8155.75341796875
68     -552.6595458984375      -1.861392617225647     406.3231811523438     10725.3681640625
69     -552.7870483398438      0.07709893584251404     524.2880249023438     6020.15771484375
70     -552.885009765625      4.349627017974854     414.1875     10408.7431640625
71     -553.4967651367188      -1.890081167221069     380.1087951660156     13318.7138671875
72     -552.3070068359375      1.337913990020752     374.8659057617188     9364.9951171875
73     -552.0068359375      5.719986915588379     343.4086303710938     15331.072265625
74     -552.7139282226562      0.6472727060317993     487.5878295898438     10436.474609375
75     -553.3058471679688      -2.861799716949463     380.1087951660156     10866.3994140625
76     -552.3304443359375      -6.56973123550415     369.6230163574219     10404.5751953125
77     -553.0944213867188      -2.80470085144043     482.3449401855469     9757.1513671875
78     -552.7062377929688      -3.347513437271118     304.0870361328125     9851.9892578125
