# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Calore specifico 	 Suscettività
1 -1.005615711212158 0.9345250129699707 0.2013333290815353 2.41833
2 -1.000769376754761 0.8904600143432617 0.2066666632890701 4.76667
3 -1.003744125366211 0.9157053828239441 0.2293333262205124 8.71167
4 -1.003669381141663 0.9056557416915894 0.2826666533946991 4.39467
5 -1.002058863639832 0.8954928517341614 0.2986666560173035 4.814
6 -1.0040682554245 0.9228072762489319 0.1546666622161865 2.417
7 -1.001577019691467 0.8920319080352783 0.3533333241939545 8.57867
8 -1.00201427936554 0.8926875591278076 0.3560000061988831 7.43967
9 -1.003894686698914 0.9222938418388367 0.2386666685342789 7.082
10 -1.005362391471863 0.9318703413009644 0.1759999990463257 2.072
11 -1.004407048225403 0.9130254983901978 0.1906666606664658 5.41033
12 -1.005928158760071 0.9297814965248108 0.1573333293199539 1.97033
13 -1.00379741191864 0.9156097173690796 0.3346666693687439 8.45467
14 -0.9998168349266052 0.8761175870895386 0.2080000042915344 8.36433
15 -1.003265500068665 0.8935856223106384 0.2066666632890701 5.90833
16 -1.000657916069031 0.8961275219917297 0.2706666588783264 4.83867
17 -1.002049922943115 0.9026327133178711 0.2000000029802322 4.56033
18 -0.9988429546356201 0.8708405494689941 0.2720000147819519 3.523
19 -1.002542018890381 0.8873260021209717 0.3199999928474426 17.1573
20 -0.9973540902137756 0.8323241472244263 0.185333326458931 8.039
21 -1.006548285484314 0.9291143417358398 0.1986666619777679 3.425
22 -1.0039883852005 0.9077094793319702 0.2253333330154419 7.43767
23 -1.003782153129578 0.918617844581604 0.1813333332538605 2.974
24 -1.004233002662659 0.9219567775726318 0.2066666632890701 4.882
25 -1.005650639533997 0.9268128871917725 0.1879999935626984 3.30633
26 -1.002333402633667 0.9023381471633911 0.2533333301544189 8.33933
27 -1.003842353820801 0.9185916185379028 0.2960000038146973 7.18867
28 -1.007807850837708 0.9482932686805725 0.1333333402872086 2.45033
29 -1.005741477012634 0.9225722551345825 0.1599999964237213 4.86967
30 -1.00146496295929 0.8864558339118958 0.2626666724681854 7.023
31 -1.003569602966309 0.9158526062965393 0.2066666632890701 4.117
32 -1.002033710479736 0.8945338726043701 0.2599999904632568 3.822
33 -1.002666592597961 0.9033703804016113 0.3120000064373016 8.607
34 -1.001817941665649 0.8817699551582336 0.1400000005960464 6.31833
35 -1.004011273384094 0.9026613831520081 0.1533333361148834 5.32367
36 -1.003536581993103 0.9084737300872803 0.2293333262205124 5.311
37 -1.003867626190186 0.894565761089325 0.1373333334922791 2.15967
38 -1.003730535507202 0.9064900875091553 0.2133333384990692 5.01367
39 -1.001531839370728 0.8786450028419495 0.1106666699051857 2.81933
40 -1.001862049102783 0.8957902193069458 0.1466666609048843 2.11767
41 -1.000534176826477 0.8983386158943176 0.2960000038146973 8.272
42 -1.001892924308777 0.8999834656715393 0.1986666619777679 7.994
43 -1.006518125534058 0.9395084381103516 0.2253333330154419 4.09433
44 -0.9988550543785095 0.836143970489502 0.1186666637659073 4.87767
45 -1.004069924354553 0.9096367955207825 0.1573333293199539 4.969
46 -1.00116240978241 0.8931029438972473 0.2493333369493484 6.72433
47 -1.00367271900177 0.916127622127533 0.1826666593551636 4.57267
48 -1.001578688621521 0.8947163224220276 0.1879999935626984 2.56433
49 -1.002635717391968 0.8996319770812988 0.2000000029802322 6.21933
50 -1.000224113464355 0.8863866925239563 0.3199999928474426 4.872
51 -1.006864070892334 0.9405374526977539 0.2160000056028366 4.074
52 -1.005363941192627 0.9190348982810974 0.1746666729450226 3.42367
53 -1.005525946617126 0.9145904779434204 0.1866666674613953 5.37967
54 -1.006129503250122 0.9305419921875 0.2293333262205124 5.69867
55 -1.002980589866638 0.9110065102577209 0.1626666635274887 3.04467
56 -1.006032347679138 0.9279012680053711 0.1439999938011169 4.02933
57 -1.004373908042908 0.9106101989746094 0.2226666659116745 9.06967
58 -1.002372980117798 0.9027715921401978 0.3186666667461395 6.29733
59 -1.00037407875061 0.8924410939216614 0.3013333380222321 8.58267
60 -1.00751793384552 0.9415428042411804 0.1306666731834412 3.978
61 -1.004087924957275 0.9210996627807617 0.3706666529178619 5.43167
62 -1.003566861152649 0.9048954844474792 0.3306666612625122 9.50233
63 -1.006362080574036 0.938451886177063 0.1679999977350235 1.73433
64 -1.006868124008179 0.9204225540161133 0.1653333306312561 3.29333
65 -1.003109097480774 0.9009533524513245 0.1533333361148834 3.55667
66 -1.000107884407043 0.8943257927894592 0.1986666619777679 3.655
67 -1.003998160362244 0.9115233421325684 0.2666666805744171 8.52633
68 -1.004655480384827 0.915770411491394 0.2453333288431168 5.76
69 -1.004827857017517 0.9252522587776184 0.2280000001192093 6.65167
70 -1.004834413528442 0.9192008376121521 0.1840000003576279 4.88667
71 -1.003132224082947 0.912117600440979 0.2413333356380463 6.18167
72 -1.006549835205078 0.9317533373832703 0.2373333275318146 3.24633
73 -1.003854274749756 0.9184830784797668 0.3693333268165588 5.53333
74 -1.003613710403442 0.9140880703926086 0.2479999959468842 5.733
75 -1.002717018127441 0.9168879389762878 0.2133333384990692 3.05233
